exo_circ_ID	CircRNA	PAAD1	PAAD2	PAAD3	PAAD4	PAAD5	PAAD6	PAAD7	PAAD8	PAAD9	PAAD10	PAAD11	PAAD12	PAAD13	PAAD14
exo_circ_000083	chr16:24032135-24035547:+	160.545	172.15	448.508	792.949	96.499	286.988	596.083	524.217	637.801	527.581	278.16	118.304	317.103	247.364
exo_circ_000084	chr18:21765771-21779685:+	1665.189	397.27	554.336	592.324	400.84	1997.434	438.874	1362.964	579.426	810.911	429.883	395.244	951.31	166.702
exo_circ_000085	chr18:47865058-47896809:-	1519.578	750.399	650.085	878.932	668.067	464.92	281.666	157.265	397.815	188.887	986.203	575.389	649.307	276.94
exo_circ_000086	chr18:9195550-9221999:+	701.918	737.157	579.533	2455.277	608.683	539.537	844.997	411.309	929.675	481.987	183.333	916.859	770.108	0
exo_circ_000087	chr19:18147442-18147624:+	33.602	26.485	40.315	47.768	259.804	212.371	91.705	302.433	125.398	123.754	0	768.978	679.507	64.53
exo_circ_000088	chr21:15762890-15766141:+	556.307	1288.921	488.824	171.965	809.104	1343.102	42.577	153.233	307.009	508.041	1024.134	682.939	845.608	231.231
exo_circ_000089	chrX:53403565-53403893:-	1403.836	1072.63	942.372	706.967	1276.751	2227.024	422.499	1233.926	637.801	830.451	486.78	777.045	1917.719	295.761
exo_circ_000090	chr1:155438326-155459898:-	250.152	666.531	372.917	802.503	437.955	637.113	1113.562	673.417	477.81	0	1106.317	48.397	468.105	110.238
exo_circ_000091	chr1:205616477-205623891:-	854.996	1249.194	277.168	449.02	319.188	436.221	85.155	137.103	287.551	0	385.631	742.091	966.41	330.715
exo_circ_000092	chr1:7777159-7778169:+	970.738	1284.507	1481.59	1690.989	1254.482	1607.131	1165.965	1532.326	1857.189	2237.333	1751.142	1839.095	1343.914	809.309
exo_circ_000093	chr1:9931890-9934860:-	2131.89	940.206	1159.067	1862.953	2048.739	1825.242	2502.239	1423.45	1742.601	1628.336	1390.799	809.309	513.405	231.231
exo_circ_000094	chr2:112299848-112300029:+	884.865	1032.903	1698.285	840.717	2226.89	1962.996	1090.636	975.85	1500.453	1058.418	0	1992.353	4273.343	887.283
exo_circ_000095	chr2:226864603-226867318:+	567.508	313.402	403.154	668.753	29.692	1038.895	750.017	475.828	464.838	1126.808	82.184	118.304	468.105	91.417
exo_circ_000096	chr3:196487398-196488683:-	1415.037	2171.744	2489.474	1968.043	549.3	2686.205	1961.834	2778.349	1208.578	2800.737	3306.308	2909.212	2204.622	1242.196
exo_circ_000097	chr5:123545416-123557564:+	1863.07	1942.21	1516.866	630.538	890.756	1670.268	1084.085	2149.289	1323.166	3328.318	0	2027.307	3729.737	470.529
exo_circ_000098	chr7:152309965-152315338:-	978.205	2595.499	1189.303	1948.936	1447.479	992.977	1310.073	1487.969	1321.004	169.347	1308.615	0	0	126.371
exo_circ_000099	chr8:22474953-22475624:+	545.107	1628.808	927.253	611.431	0	2869.877	353.72	862.942	549.157	1126.808	2794.241	1909.002	317.103	639.919
exo_circ_000100	chr10:110596397-110598290:+	907.267	1553.768	1224.579	802.503	608.683	1371.801	1175.791	1508.131	802.115	722.981	891.375	588.833	347.303	0
exo_circ_000101	chr11:72984087-72989097:-	1370.234	1403.688	851.662	1127.326	527.031	1521.035	393.022	1108.92	389.166	560.147	177.011	126.371	966.41	255.43
exo_circ_000102	chr16:68121986-68126610:+	67.205	851.924	932.293	773.842	1157.983	660.072	114.631	262.108	322.143	0	0	959.879	770.108	137.126
exo_circ_000103	chr17:67945408-67975958:+	0	273.675	670.243	133.751	400.84	637.113	153.934	153.233	371.87	1123.552	802.87	247.364	483.205	215.099
exo_circ_000104	chr19:8455404-8463686:+	769.123	966.691	413.233	1155.987	950.14	1320.143	1303.523	1060.531	847.518	1410.139	2212.634	508.171	0	282.317
exo_circ_000105	chr22:41172498-41173784:+	0	556.178	302.365	143.304	437.955	269.768	196.511	395.179	300.523	491.757	1150.57	688.316	573.806	233.92
exo_circ_000106	chr3:170122590-170129552:-	784.057	1809.787	251.971	964.914	489.916	103.316	406.123	741.968	458.352	556.891	132.758	0	770.108	29.576
exo_circ_000107	chr3:56592969-56594028:+	1866.804	1730.333	2038.446	0	527.031	803.566	576.432	1366.996	1286.411	2520.664	2844.815	1271.772	1419.414	779.733
exo_circ_000108	chr4:177353307-177353728:+	1146.217	0	1143.949	334.376	608.683	430.482	39.302	471.795	434.569	0	1839.647	551.191	30.2	64.53
exo_circ_000109	chr5:32135571-32143880:-	216.549	454.654	287.247	124.197	697.759	430.482	111.356	169.362	147.018	97.7	853.445	570.012	120.801	225.854
exo_circ_000110	chr6:130926604-130956499:-	164.279	2096.704	947.411	277.055	378.571	1521.035	0	157.265	339.44	358.234	2452.863	1048.607	634.206	365.668
exo_circ_000111	chr7:155665174-155680908:+	171.746	538.522	851.662	382.144	868.487	1538.254	206.336	1165.374	415.111	195.4	44.253	443.641	392.604	0
exo_circ_000112	chr9:75016267-75017448:-	246.418	971.105	987.726	1662.328	861.064	700.25	903.95	447.6	892.921	644.821	1719.533	88.728	800.308	26.887
exo_circ_000113	chr10:34269656-34284245:-	2072.152	154.494	1214.5	1786.525	1811.204	533.797	2521.891	2625.116	1297.222	638.308	0	169.39	181.202	174.768
exo_circ_000114	chr10:68787926-68788328:+	466.701	220.706	312.444	248.394	831.372	958.539	91.705	463.73	471.324	237.737	1808.038	360.291	332.203	13.444
exo_circ_000115	chr13:99238426-99244624:+	0	379.614	413.233	429.912	734.874	941.32	592.808	1516.196	523.213	784.858	1555.166	376.423	468.105	0
exo_circ_000116	chr15:93000511-93009323:+	526.439	1015.246	382.996	410.805	771.989	591.195	58.953	375.017	557.805	182.374	695.399	795.866	362.404	0
exo_circ_000117	chr16:80684537-80685129:-	530.172	772.47	408.193	420.359	452.801	1182.389	291.491	750.033	302.685	726.238	1599.418	360.291	271.803	465.151
exo_circ_000118	chr17:59731420-59738947:+	574.975	313.402	584.573	888.486	534.454	1429.199	1133.213	475.828	856.166	1270.102	1283.328	371.046	498.305	440.953
exo_circ_000119	chr21:14991200-15043574:-	1291.828	551.764	2051.044	2073.133	1484.594	786.346	3347.236	4721.984	2205.277	0	227.585	0	0	0
exo_circ_000120	chr21:46349011-46349820:+	589.91	776.884	1219.54	277.055	1529.131	906.881	566.607	350.822	575.102	696.928	0	196.278	392.604	0
exo_circ_000121	chrX:44524001-44527365:-	616.045	856.338	1290.092	955.361	905.602	453.441	527.304	1794.434	936.162	377.774	0	543.125	347.303	110.238
exo_circ_000122	chrX:77652113-77656653:-	1534.513	1207.26	1234.658	468.127	705.182	350.125	592.808	112.908	250.796	293.1	0	1008.276	347.303	280.973
exo_circ_000123	chr1:29154695-29154910:-	336.025	0	191.498	66.875	482.493	246.809	327.518	64.519	255.12	149.807	0	64.53	0	155.947
exo_circ_000124	chr3:3137259-3144710:+	1235.824	450.24	1521.905	640.092	527.031	2479.574	1775.149	604.866	936.162	1068.188	834.479	946.435	317.103	0
exo_circ_000125	chr3:50065030-50066502:+	616.045	706.258	317.484	458.573	170.728	556.756	586.258	556.476	315.657	631.794	771.261	56.463	0	29.576
exo_circ_000126	chr4:177353307-177360677:+	653.381	494.381	917.175	219.733	319.188	1607.131	442.15	12.097	356.736	1296.155	0	0	181.202	0
exo_circ_000127	chr6:116689319-116705160:+	302.422	604.734	992.766	66.875	0	367.344	710.715	0	302.685	582.944	0	392.555	1208.012	497.416
exo_circ_000128	chr6:144537581-144539443:+	1138.75	1235.952	1763.797	391.698	1863.165	1440.678	0	1423.45	451.866	638.308	328.734	1145.401	1615.716	110.238
exo_circ_000129	chr6:16326393-16328470:-	451.766	291.332	141.104	133.751	0	901.141	265.29	217.752	322.143	742.521	202.298	639.919	1192.912	604.966
exo_circ_000130	chr6:18236451-18258405:-	485.369	2379.208	952.451	1662.328	846.218	1325.883	1136.488	1004.077	1295.06	537.351	423.561	2242.406	604.006	204.344
exo_circ_000131	chr6:7176654-7189322:+	0	414.927	428.351	114.643	0	751.908	376.646	129.038	276.741	234.48	0	795.866	860.709	0
exo_circ_000132	chr8:51845660-51861246:-	328.557	1041.731	1421.117	936.254	363.725	551.016	1234.744	149.2	300.523	550.377	2497.116	1191.11	1117.411	0
exo_circ_000133	chr8:70213902-70216764:-	1015.541	494.381	902.056	687.86	1989.355	1561.213	1270.771	1225.861	709.148	657.848	568.963	247.364	211.402	233.92
exo_circ_000134	chr9:33948373-33953474:-	392.029	512.037	251.971	382.144	430.532	252.549	252.189	302.433	492.944	97.7	113.793	104.861	0	344.158
exo_circ_000135	chr11:86022366-86031611:-	280.021	467.896	574.494	219.733	549.3	970.018	157.209	354.854	250.796	608.998	600.572	395.244	241.602	115.616
exo_circ_000136	chr14:21503172-21503881:-	97.074	529.694	231.813	611.431	200.42	568.236	0	0	302.685	371.261	164.367	379.112	362.404	0
exo_circ_000137	chr14:52536718-52544371:-	1762.263	1297.75	448.508	0	319.188	1027.416	815.52	330.66	479.972	0	1491.948	540.436	2053.621	322.648
exo_circ_000138	chr15:63696123-63716473:-	563.775	525.28	433.39	783.396	274.65	809.305	111.356	0	207.555	1055.161	417.24	828.131	513.405	172.079
exo_circ_000139	chr15:94440175-94458246:+	545.107	715.087	645.046	219.733	586.414	1383.281	789.319	866.974	596.722	1094.242	0	965.256	573.806	1021.72
exo_circ_000140	chr16:22349278-22349849:-	754.189	392.856	539.218	468.127	304.342	149.234	406.123	294.368	281.065	537.351	0	123.682	226.502	75.285
exo_circ_000141	chr1:35358924-35361789:+	0	1138.842	1154.027	353.483	385.994	705.99	1021.857	250.011	421.597	1136.578	0	185.523	875.809	0
exo_circ_000142	chr2:58221941-58232112:-	2258.832	534.108	987.726	945.807	1633.053	1635.83	1784.974	1697.656	1595.583	1813.966	0	0	1932.819	298.45
exo_circ_000143	chr2:8908620-8958642:-	261.352	322.23	1015.443	1461.702	1492.017	470.66	1224.918	858.909	964.268	2712.807	657.468	0	453.005	303.827
exo_circ_000144	chr3:129880308-129880559:-	574.975	92.696	292.286	277.055	523.319	330.036	353.72	116.941	128.641	0	183.333	377.767	0	34.954
exo_circ_000145	chr4:150798080-150817257:-	242.684	1152.084	655.125	1671.881	1299.019	803.566	1418.154	1899.278	1388.027	0	701.721	0	543.605	16.132
exo_circ_000146	chr4:38089931-38103157:+	981.939	260.433	967.569	1079.558	994.678	820.785	1093.911	838.747	1148.041	0	0	680.25	1087.211	0
exo_circ_000147	chr4:73090666-73092300:-	74.672	123.595	272.129	0	103.922	45.918	26.201	0	224.852	846.735	151.723	392.555	498.305	169.39
exo_circ_000148	chr5:103096540-103097781:-	1564.381	759.228	352.759	210.179	475.07	355.865	324.243	0	192.421	0	0	849.641	1781.818	99.483
exo_circ_000149	chr5:139363758-139364743:+	944.603	317.816	488.824	601.877	393.417	2456.615	203.061	939.558	806.439	0	853.445	0	483.205	0
exo_circ_000150	chr5:66053405-66054951:+	713.119	745.985	1068.357	458.573	1209.944	1147.951	1146.314	201.622	774.009	0	1118.961	518.926	513.405	180.145
exo_circ_000151	chr6:13639562-13644729:-	455.5	322.23	443.469	1270.63	512.185	1297.184	795.869	366.952	774.009	0	126.436	0	0	174.768
exo_circ_000152	chr7:103321931-103322794:-	780.324	525.28	1350.565	1461.702	645.798	2496.793	1493.483	1016.174	808.601	1009.568	764.939	0	0	0
exo_circ_000153	chr8:70159504-70162854:-	713.119	35.313	508.982	496.788	497.339	0	396.297	979.882	341.602	452.677	0	354.913	845.608	263.496
exo_circ_000154	chr11:128768117-128782023:+	1026.742	1112.357	1345.525	1867.73	2457.002	832.264	1696.545	2967.874	1903.673	192.144	423.561	86.04	0	0
exo_circ_000155	chr12:120782654-120784593:-	974.471	264.847	1189.303	850.271	1209.944	332.906	763.118	1088.758	635.639	0	0	252.741	1072.111	29.576
exo_circ_000156	chr13:95757643-95763953:+	1373.967	0	2766.642	3439.299	3986.134	2037.613	4300.315	3609.031	3798.697	0	2490.794	0	815.408	220.476
exo_circ_000157	chr14:50150007-50150230:-	698.185	141.252	257.01	334.376	371.148	952.799	189.961	254.044	201.069	0	0	0	166.102	40.331
exo_circ_000158	chr15:62007307-62013992:-	2553.787	2463.076	2161.912	1241.969	2108.123	1308.664	956.353	4294.545	2155.55	612.254	1365.511	0	649.307	0
exo_circ_000159	chr21:37420298-37472880:+	280.021	105.939	418.272	477.68	385.994	0	566.607	1032.304	415.111	413.597	0	430.198	543.605	231.231
exo_circ_000160	chr1:30992389-30995220:-	1004.34	741.571	912.135	334.376	192.997	338.645	232.538	237.914	170.801	1064.932	0	1029.786	271.803	102.172
exo_circ_000161	chr3:71015548-71053773:-	847.529	768.056	398.114	191.072	126.19	246.809	268.565	241.946	41.079	872.788	265.516	664.118	60.401	61.841
exo_circ_000162	chr3:71690009-71699708:-	731.787	2441.005	40.315	487.234	771.989	579.715	638.661	153.233	391.329	638.308	2155.738	408.688	679.507	266.185
exo_circ_000163	chr4:53425871-53428183:+	1149.951	516.451	287.247	573.216	675.49	407.523	592.808	746.001	808.601	478.731	126.436	64.53	332.203	91.417
exo_circ_000164	chr4:73085248-73092300:-	496.57	357.543	131.025	257.947	244.958	332.906	167.034	137.103	181.611	58.62	467.814	529.681	362.404	276.94
exo_circ_000165	chr5:172055587-172057473:-	130.676	697.43	120.946	0	393.417	378.824	42.577	604.866	239.986	22.797	695.399	1075.494	256.703	77.973
exo_circ_000166	chr7:130120748-130122202:+	1015.541	198.635	257.01	286.608	1113.445	327.166	271.84	1024.239	523.213	0	467.814	0	694.607	0
