exo_circ_ID	CircRNA	CRC1	CRC2	CRC3	CRC4	CRC5	CRC6	CRC7	CRC8	CRC9	CRC10	CRC11	CRC12
exo_circ_000014	chr14:22909482-22911403:-	8017.047	12313.292	10289.828	12465.008	11691.316	13170.449	6599.325	6849.977	6311.295	10247.878	5615.365	14814.335
exo_circ_000015	chr14:39179090-39179462:+	2025.359	871.223	3105.815	3485.977	1115.426	5238.247	949.431	2237.291	2005.291	2435.378	1544.225	988.703
exo_circ_000016	chr16:85633913-85634132:+	19283.107	19670.29	19389.577	15387.595	14954.97	16088.901	28124.951	13368.504	12148.123	11622.299	19513.394	16613.45
exo_circ_000017	chr21:15014343-15043574:-	22911.876	22980.94	27792.694	15053.082	14293.977	22262.548	41370.294	24748.305	86451.307	13611.593	31832.101	14862.959
exo_circ_000018	chr1:117402185-117405645:+	2278.529	1916.692	3410.592	2183.137	2396.1	1646.306	2194.587	1574.39	2434.996	1398.534	1807.446	3452.356
exo_circ_000019	chr1:117402185-117420649:+	9747.041	10202.995	12045.92	12024.86	8882.095	10214.581	9953.462	9391.098	7018.518	12635.031	13582.164	10389.484
exo_circ_000020	chr2:40428472-40430304:-	654.022	658.258	812.737	334.513	1404.61	1795.97	280.16	883.868	161.139	747.492	666.825	583.497
exo_circ_000021	chr3:71041327-71053773:-	253.17	1180.992	319.289	651.42	867.553	710.905	513.627	303.83	214.853	747.492	649.277	729.371
exo_circ_000022	chr4:128992166-129003876:-	590.73	1219.713	1073.974	845.085	247.872	1571.474	1182.898	773.385	832.554	1012.731	438.7	1799.115
exo_circ_000023	chr4:87046165-87047594:+	928.29	1142.271	1161.052	1373.264	826.241	1721.138	466.933	718.143	223.805	1302.083	386.056	1021.119
exo_circ_000024	chr5:137985256-137988315:-	7046.562	6911.706	8359.578	6355.746	4255.143	5462.743	6147.956	7209.049	7081.183	3423.997	7142.042	2771.61
exo_circ_000025	chr5:154033790-154034967:-	400.852	1277.794	232.21	440.149	1239.362	1047.649	249.031	331.451	313.327	241.127	1158.169	551.08
exo_circ_000026	chr5:95755395-95763620:+	1329.142	1548.842	1436.802	1267.628	3346.278	523.825	4295.787	3148.78	2667.753	1398.534	2912.971	940.078
exo_circ_000027	chr11:33286412-33287511:+	5928.395	4995.015	4615.184	5827.567	4255.143	3928.685	3782.16	4005.027	2891.558	3713.349	5246.857	3938.603
exo_circ_000028	chr14:99458278-99465813:-	126.585	445.292	362.829	246.483	247.872	1683.722	357.982	414.313	187.996	530.478	508.892	696.954
exo_circ_000029	chr15:41668827-41669958:+	1286.947	1180.992	972.381	985.933	1900.355	935.401	280.16	939.11	617.701	1784.336	772.113	3111.983
exo_circ_000030	chr15:89113724-89116521:+	907.192	522.734	928.842	651.42	991.49	1122.481	1073.947	994.352	519.227	1060.957	982.689	875.245
exo_circ_000031	chr16:30483826-30484263:+	1751.092	793.781	1944.763	2993.01	4048.583	4789.254	949.431	552.418	608.749	1277.971	1912.734	4667.974
exo_circ_000032	chr17:29684562-29703062:-	886.095	890.584	754.684	774.662	1198.05	1459.226	747.093	635.28	563.988	988.619	912.497	1264.243
exo_circ_000033	chr17:59353214-59353526:+	738.412	793.781	827.25	105.636	247.872	935.401	249.031	220.967	358.088	530.478	368.508	421.414
exo_circ_000034	chr20:2964271-2965202:+	2953.649	4375.478	3076.789	3908.52	5618.442	1496.642	2179.022	4198.373	3616.685	1904.9	2772.586	2479.861
exo_circ_000035	chr20:58438944-58441083:+	1793.287	329.129	1132.026	1408.476	619.681	1234.73	575.884	966.731	1727.773	434.028	596.633	1215.618
exo_circ_000036	chr21:34834409-34859578:-	3607.671	1936.052	2467.237	1443.687	1611.171	411.577	3751.031	3093.538	2757.275	1036.844	3035.807	1150.785
exo_circ_000037	chr1:117402185-117442325:+	2215.237	1742.447	3178.381	1831.018	3098.405	1197.314	1929.991	2706.846	1960.53	1711.998	1675.836	1361.492
exo_circ_000038	chr1:1223243-1223968:-	168.78	425.931	1669.013	1461.293	867.553	823.153	482.498	441.934	429.705	940.394	561.537	534.872
exo_circ_000039	chr1:26729650-26732792:+	274.267	96.803	406.368	704.238	1982.979	37.416	264.596	276.209	277.518	699.267	526.44	713.163
exo_circ_000040	chr1:41070594-41075451:-	0	445.292	536.987	651.42	247.872	1085.065	93.387	359.071	331.231	964.506	1017.785	745.579
exo_circ_000041	chr1:66958058-66963160:+	3417.794	2420.065	4687.749	2447.226	1280.674	4003.517	3066.196	3093.538	2981.08	2748.843	2702.394	1701.866
exo_circ_000042	chr2:147896300-147899898:+	2109.749	1510.121	2075.381	1654.959	3057.093	0	3206.276	2900.192	2390.235	602.816	2649.75	826.62
exo_circ_000043	chr2:61522610-61533903:-	3249.014	2458.786	1233.618	1883.836	2354.788	1908.218	2661.52	2292.533	2712.514	2242.477	1754.802	2431.237
exo_circ_000044	chr3:152414940-152432920:+	358.657	271.047	101.592	35.212	206.56	37.416	435.804	55.242	71.618	385.802	245.672	0
exo_circ_000045	chr3:158122102-158123991:+	1729.994	2439.426	1596.447	563.39	867.553	1608.89	1774.347	2375.395	1477.111	3592.785	2439.174	1085.952
exo_circ_000046	chr4:87195323-87195690:-	1308.044	561.455	812.737	580.996	1074.114	598.657	1058.382	1077.214	644.558	313.465	614.181	437.623
exo_circ_000047	chr8:37877108-37877551:-	189.877	1161.631	261.237	563.39	330.497	448.993	186.773	138.104	98.474	385.802	491.344	988.703
exo_circ_000048	chr10:5794884-5800705:-	928.29	2090.936	1335.21	1522.914	1115.426	3330.028	700.4	524.797	644.558	1904.9	1087.977	2690.568
exo_circ_000049	chr12:46229152-46243314:-	337.56	503.374	217.697	1091.569	1074.114	74.832	373.547	55.242	170.092	1085.069	228.124	664.538
exo_circ_000050	chr12:69800208-69801721:+	1898.774	1161.631	798.224	2077.501	3015.781	3180.364	1089.511	1325.802	1101.119	1543.21	596.633	891.453
exo_circ_000051	chr14:96833466-96860735:+	443.047	290.408	290.263	669.026	1404.61	860.569	140.08	469.555	286.47	1060.957	105.288	64.833
exo_circ_000052	chr15:64499292-64500166:+	675.12	1916.692	1248.131	2271.167	1900.355	1908.218	311.289	607.659	125.331	940.394	596.633	2139.488
exo_circ_000053	chr17:20204332-20205912:+	421.95	696.979	986.895	70.424	1363.298	636.073	217.902	441.934	492.37	1422.647	526.44	356.581
exo_circ_000054	chr18:9182381-9221999:+	2362.919	1432.679	1683.526	2517.65	1611.171	1197.314	3221.84	1519.148	1754.629	3231.096	1403.841	1961.197
exo_circ_000055	chr19:12928341-12928847:-	654.022	948.666	522.474	1073.963	743.617	0	840.48	662.901	501.323	1012.731	105.288	145.874
exo_circ_000056	chr19:47264602-47264946:+	147.682	871.223	435.395	721.844	1032.802	261.912	342.418	193.346	71.618	361.69	70.192	1653.241
exo_circ_000057	chr22:21805849-21807846:-	316.462	696.979	1277.158	809.873	413.121	149.664	202.338	773.385	1038.454	530.478	877.401	1102.161
exo_circ_000058	chr1:77711746-77715868:-	2700.479	3252.568	1770.605	3204.282	3346.278	2057.883	1680.96	1740.115	3383.928	3930.363	2930.519	1637.033
exo_circ_000059	chr2:63856305-63857936:+	738.412	580.816	740.171	545.784	1156.738	1010.233	762.658	1160.077	1190.641	892.168	982.689	1021.119
exo_circ_000060	chr2:72718102-72733118:-	2531.699	3407.452	2104.408	3151.464	2561.348	1908.218	2381.36	2568.741	2032.147	1229.745	2790.135	2090.863
exo_circ_000061	chr3:125313307-125331238:-	253.17	1142.271	899.816	704.238	1032.802	823.153	1478.622	773.385	367.04	1133.295	456.248	1588.408
exo_circ_000062	chr3:172247532-172251541:+	0	561.455	58.053	176.059	826.241	561.241	62.258	110.484	107.426	241.127	0	64.833
exo_circ_000063	chr6:130955104-130956499:-	210.975	290.408	304.776	246.483	454.433	187.08	404.676	248.588	116.378	241.127	701.921	453.831
exo_circ_000064	chr7:100812746-100813208:-	0	832.502	43.539	316.907	413.121	112.248	264.596	82.863	89.522	1181.52	263.22	48.625
exo_circ_000065	chr7:102227366-102227669:+	126.585	212.966	101.592	387.331	247.872	0	373.547	276.209	241.709	409.915	1123.073	16.208
exo_circ_000066	chr7:155672866-155680908:+	1308.044	1974.773	1581.934	0	1363.298	972.817	2132.329	1519.148	1799.39	1953.125	3035.807	0
exo_circ_000067	chr7:77585542-77600806:+	1223.655	871.223	812.737	862.691	578.369	0	498.062	1187.698	1136.928	626.929	877.401	729.371
exo_circ_000068	chr10:104008176-104018908:+	506.34	1626.284	1407.776	598.602	867.553	1496.642	155.644	718.143	1110.072	868.056	1930.282	777.996
exo_circ_000069	chr11:108227594-108229323:+	379.755	367.85	580.526	1443.687	702.305	1534.058	342.418	552.418	205.9	578.704	228.124	2317.779
exo_circ_000070	chr16:68121986-68123121:+	0	251.687	435.395	176.059	247.872	598.657	202.338	165.725	80.57	217.014	491.344	470.039
exo_circ_000071	chr16:69370482-69372355:-	886.095	813.142	928.842	1038.751	1569.859	1646.306	342.418	1270.56	581.892	1133.295	1017.785	1944.989
exo_circ_000072	chr17:67945408-67948306:+	42.195	96.803	261.237	17.606	247.872	37.416	46.693	248.588	62.665	24.113	87.74	145.874
exo_circ_000073	chr22:32478980-32479275:+	210.975	290.408	188.671	88.03	247.872	299.328	202.338	193.346	196.948	434.028	105.288	632.121
exo_circ_000074	chr1:33294936-33295305:+	1814.384	2361.984	1552.908	1707.777	2272.164	2619.123	1463.058	1684.873	1181.689	1422.647	1368.745	1085.952
exo_circ_000075	chr3:107710451-107716849:+	168.78	329.129	449.908	633.814	454.433	860.569	217.902	414.313	349.135	458.14	175.48	437.623
exo_circ_000076	chr4:128936654-128970468:-	2004.262	1122.91	1465.829	1742.988	2685.285	2993.284	2225.716	1408.665	1432.351	2290.702	2755.038	777.996
exo_circ_000077	chr4:53414614-53428183:+	696.217	387.21	1088.487	422.543	206.56	149.664	435.804	469.555	528.179	626.929	315.864	324.165
exo_circ_000078	chr6:13632369-13644729:-	1329.142	832.502	1523.881	598.602	908.866	261.912	1774.347	1049.593	1083.215	1277.971	930.045	1312.868
exo_circ_000079	chr7:139715931-139717015:-	126.585	251.687	348.316	17.606	619.681	37.416	420.24	248.588	214.853	795.718	315.864	48.625
exo_circ_000080	chr8:130152735-130180880:-	4578.156	5227.341	6719.591	2676.103	4792.2	3591.941	4295.787	4944.137	5630.928	3882.137	4474.744	3922.395
exo_circ_000081	chr11:108176245-108177090:-	1962.067	1432.679	1654.5	2517.65	2354.788	673.489	1603.138	1602.011	1808.343	1350.309	842.305	810.412
exo_circ_000082	chr11:68551120-68564432:+	569.632	1142.271	769.197	651.42	826.241	74.832	295.724	773.385	510.275	289.352	1035.333	291.748
exo_circ_000083	chr16:24032135-24035547:+	379.755	600.176	957.868	563.39	784.929	74.832	529.191	994.352	563.988	651.042	386.056	615.913
exo_circ_000084	chr18:21765771-21779685:+	400.852	716.339	333.803	721.844	413.121	1683.722	622.578	276.209	170.092	1157.407	1421.389	388.998
exo_circ_000085	chr18:47865058-47896809:-	421.95	600.176	174.158	88.03	0	748.321	140.08	303.83	196.948	192.901	193.028	129.666
exo_circ_000086	chr18:9195550-9221999:+	696.217	1006.747	682.118	1320.446	289.184	710.905	1214.027	386.692	295.422	1012.731	631.729	988.703
exo_circ_000087	chr19:18147442-18147624:+	105.487	813.142	464.421	211.271	454.433	1010.233	62.258	0	44.761	168.789	0	632.121
exo_circ_000088	chr21:15762890-15766141:+	210.975	154.884	203.184	809.873	206.56	336.744	420.24	359.071	223.805	144.676	666.825	486.247
exo_circ_000089	chrX:53403565-53403893:-	2257.432	1335.876	2960.684	2218.349	1693.795	1309.562	2038.942	1684.873	1736.725	1446.759	1649.513	2949.9
exo_circ_000090	chr1:155438326-155459898:-	316.462	871.223	536.987	334.513	2272.164	0	435.804	773.385	358.088	409.915	263.22	81.041
exo_circ_000091	chr1:205616477-205623891:-	506.34	329.129	116.105	387.331	289.184	149.664	62.258	303.83	116.378	120.563	386.056	648.33
exo_circ_000092	chr1:7777159-7778169:+	2025.359	2052.215	2133.434	2852.163	908.866	636.073	1867.733	1629.632	2229.096	1446.759	1947.83	2593.319
exo_circ_000093	chr1:9931890-9934860:-	2025.359	1026.108	2147.947	3186.676	2189.54	1047.649	2085.636	1905.84	1862.056	1133.295	1965.378	1539.783
exo_circ_000094	chr2:112299848-112300029:+	5865.103	4859.491	5892.341	5352.207	3883.335	4190.597	2879.422	6877.598	5801.02	4870.756	3930.756	3889.978
exo_circ_000095	chr2:226864603-226867318:+	274.267	116.163	203.184	17.606	165.248	74.832	93.387	165.725	143.235	96.451	0	243.124
exo_circ_000096	chr3:196487398-196488683:-	3206.819	2207.1	2713.96	1373.264	3676.774	2881.036	1712.089	2568.741	1459.207	2507.716	982.689	3160.607
exo_circ_000097	chr5:123545416-123557564:+	949.387	1084.189	1059.46	1161.992	1859.043	1159.897	1073.947	856.247	922.076	2435.378	719.469	437.623
exo_circ_000098	chr7:152309965-152315338:-	590.73	174.245	232.21	352.119	0	149.664	295.724	552.418	608.749	289.352	438.7	291.748
exo_circ_000099	chr8:22474953-22475624:+	822.802	1916.692	928.842	897.903	1321.986	2806.204	824.916	359.071	161.139	964.506	421.152	2301.571
exo_circ_000100	chr10:110596397-110598290:+	2257.432	1819.889	1349.724	1250.022	578.369	673.489	2443.618	2182.049	2014.243	1398.534	1281.005	1053.536
exo_circ_000101	chr11:72984087-72989097:-	400.852	813.142	536.987	1250.022	867.553	2319.795	1105.076	303.83	259.614	651.042	1158.169	275.54
exo_circ_000102	chr16:68121986-68126610:+	0	387.21	522.474	228.877	330.497	1346.978	373.547	441.934	62.665	819.83	491.344	777.996
exo_circ_000103	chr17:67945408-67975958:+	0	484.013	217.697	52.818	206.56	0	124.516	55.242	17.904	24.113	70.192	178.291
exo_circ_000104	chr19:8455404-8463686:+	1139.265	1568.202	1843.171	651.42	2520.036	523.825	1385.236	1242.939	1647.203	1374.421	1667.061	1620.824
exo_circ_000105	chr22:41172498-41173784:+	168.78	1587.563	493.447	246.483	371.809	1085.065	280.16	110.484	268.566	602.816	807.209	405.206
exo_circ_000106	chr3:170122590-170129552:-	696.217	96.803	348.316	316.907	991.49	0	295.724	441.934	187.996	409.915	315.864	421.414
exo_circ_000107	chr3:56592969-56594028:+	822.802	1103.55	1277.158	2746.527	1735.107	0	653.707	690.522	626.653	2146.026	438.7	3484.772
exo_circ_000108	chr4:177353307-177353728:+	464.145	425.931	319.289	492.966	165.248	748.321	77.822	773.385	250.661	361.69	947.593	226.915
exo_circ_000109	chr5:32135571-32143880:-	590.73	1026.108	624.066	1073.963	1776.419	598.657	280.16	441.934	349.135	843.943	649.277	1604.616
exo_circ_000110	chr6:130926604-130956499:-	168.78	0	14.513	598.602	206.56	0	93.387	82.863	116.378	168.789	403.604	583.497
exo_circ_000111	chr7:155665174-155680908:+	337.56	0	798.224	1021.145	2106.916	187.08	902.738	994.352	563.988	530.478	1263.457	1718.074
exo_circ_000112	chr9:75016267-75017448:-	1160.362	0	1901.223	0	826.241	411.577	1400.8	1270.56	922.076	1205.633	193.028	1928.781
exo_circ_000113	chr10:34269656-34284245:-	3670.964	2071.576	2002.816	1954.26	784.929	1234.73	1758.782	2403.016	2721.466	1832.562	2790.135	1782.907
exo_circ_000114	chr10:68787926-68788328:+	949.387	154.884	420.882	1056.357	867.553	1085.065	233.467	524.797	689.319	217.014	333.412	794.204
exo_circ_000115	chr13:99238426-99244624:+	168.78	387.21	464.421	176.059	826.241	74.832	311.289	580.038	241.709	72.338	473.796	372.79
exo_circ_000116	chr15:93000511-93009323:+	253.17	484.013	624.066	669.026	660.993	448.993	280.16	469.555	98.474	24.113	140.384	145.874
exo_circ_000117	chr16:80684537-80685129:-	295.365	387.21	783.71	387.331	1115.426	0	295.724	276.209	241.709	458.14	438.7	453.831
exo_circ_000118	chr17:59731420-59738947:+	654.022	290.408	536.987	369.725	165.248	149.664	342.418	303.83	313.327	711.323	930.045	1458.742
exo_circ_000119	chr21:14991200-15043574:-	1877.677	1510.121	3265.46	3169.07	1487.235	0	2365.796	3452.609	2229.096	868.056	2316.338	1863.948
exo_circ_000120	chr21:46349011-46349820:+	949.387	542.095	580.526	492.966	413.121	74.832	700.4	303.83	411.801	241.127	684.373	1799.115
exo_circ_000121	chrX:44524001-44527365:-	2616.089	1393.958	1262.645	1971.866	1239.362	0	1245.156	1242.939	1727.773	1085.069	3018.259	2009.822
exo_circ_000122	chrX:77652113-77656653:-	527.437	271.047	551.5	299.301	1032.802	0	264.596	690.522	349.135	506.366	350.96	1021.119
exo_circ_000123	chr1:29154695-29154910:-	654.022	677.618	1001.408	457.755	165.248	1459.226	591.449	801.005	734.08	1229.745	1789.898	615.913
exo_circ_000124	chr3:3137259-3144710:+	358.657	677.618	319.289	0	660.993	561.241	466.933	662.901	358.088	434.028	17.548	534.872
exo_circ_000125	chr3:50065030-50066502:+	485.242	193.605	290.263	140.848	413.121	897.985	357.982	248.588	358.088	168.789	1070.429	842.829
exo_circ_000126	chr4:177353307-177360677:+	274.267	309.768	275.75	739.45	660.993	411.577	529.191	524.797	116.378	819.83	157.932	1977.406
exo_circ_000127	chr6:116689319-116705160:+	611.827	1142.271	522.474	563.39	289.184	1309.562	357.982	276.209	295.422	458.14	526.44	907.662
exo_circ_000128	chr6:144537581-144539443:+	421.95	1103.55	522.474	1338.052	495.745	897.985	202.338	607.659	868.363	723.38	0	356.581
exo_circ_000129	chr6:16326393-16328470:-	485.242	600.176	391.855	211.271	247.872	0	311.289	276.209	98.474	651.042	1035.333	761.787
exo_circ_000130	chr6:18236451-18258405:-	1097.07	1335.876	1422.289	1003.539	495.745	336.744	1400.8	883.868	895.219	771.605	684.373	956.286
exo_circ_000131	chr6:7176654-7189322:+	421.95	561.455	420.882	387.331	247.872	0	295.724	607.659	384.944	494.309	772.113	243.124
exo_circ_000132	chr8:51845660-51861246:-	759.51	1084.189	769.197	1250.022	1611.171	2319.795	451.369	580.038	689.319	506.366	719.469	1053.536
exo_circ_000133	chr8:70213902-70216764:-	1054.875	348.489	536.987	880.297	1115.426	486.409	653.707	1298.181	1190.641	192.901	245.672	1507.367
exo_circ_000134	chr9:33948373-33953474:-	780.607	116.163	275.75	211.271	206.56	336.744	591.449	414.313	456.562	458.14	35.096	745.579
exo_circ_000135	chr11:86022366-86031611:-	316.462	174.245	304.776	475.36	0	598.657	373.547	331.451	214.853	578.704	631.729	307.957
exo_circ_000136	chr14:21503172-21503881:-	506.34	1587.563	667.605	545.784	454.433	1047.649	544.756	524.797	259.614	699.267	193.028	226.915
exo_circ_000137	chr14:52536718-52544371:-	485.242	387.21	348.316	792.267	1487.235	1833.386	264.596	359.071	456.562	1109.182	561.537	1863.948
exo_circ_000138	chr15:63696123-63716473:-	253.17	987.387	667.605	862.691	289.184	1721.138	233.467	801.005	214.853	795.718	263.22	340.373
exo_circ_000139	chr15:94440175-94458246:+	379.755	484.013	1073.974	985.933	537.057	3105.532	451.369	359.071	402.849	2073.688	543.988	940.078
exo_circ_000140	chr16:22349278-22349849:-	696.217	968.026	464.421	686.632	413.121	0	482.498	497.176	823.602	1036.844	596.633	1377.701
exo_circ_000141	chr1:35358924-35361789:+	970.485	251.687	478.934	404.937	41.312	187.08	249.031	469.555	268.566	795.718	350.96	859.037
exo_circ_000142	chr2:58221941-58232112:-	1054.875	3213.847	1001.408	1989.472	2933.157	1234.73	1463.058	1215.319	1351.781	1036.844	737.017	859.037
exo_circ_000143	chr2:8908620-8958642:-	611.827	677.618	827.25	1109.174	289.184	1908.218	1276.284	1353.423	608.749	1012.731	754.565	307.957
exo_circ_000144	chr3:129880308-129880559:-	274.267	784.101	457.164	325.71	0	2244.963	272.378	262.398	371.516	385.802	87.74	129.666
exo_circ_000145	chr4:150798080-150817257:-	1097.07	1665.005	1117.513	968.327	1198.05	0	2054.507	745.764	1584.538	289.352	737.017	518.664
exo_circ_000146	chr4:38089931-38103157:+	506.34	174.245	972.381	1003.539	123.936	785.737	887.173	414.313	375.992	144.676	579.085	275.54
exo_circ_000147	chr4:73090666-73092300:-	21.097	19.361	217.697	334.513	619.681	748.321	217.902	303.83	223.805	265.239	386.056	162.082
exo_circ_000148	chr5:103096540-103097781:-	527.437	561.455	261.237	616.208	784.929	1683.722	15.564	110.484	44.761	2363.04	438.7	794.204
exo_circ_000149	chr5:139363758-139364743:+	232.072	174.245	101.592	440.149	41.312	823.153	233.467	110.484	116.378	0	0	583.497
exo_circ_000150	chr5:66053405-66054951:+	738.412	1045.468	566.013	17.606	123.936	0	560.32	276.209	322.279	0	263.22	0
exo_circ_000151	chr6:13639562-13644729:-	105.487	212.966	362.829	404.937	1074.114	448.993	778.222	414.313	599.797	120.563	87.74	696.954
exo_circ_000152	chr7:103321931-103322794:-	759.51	716.339	1073.974	1250.022	1363.298	1384.394	949.431	1325.802	716.175	192.901	508.892	664.538
exo_circ_000153	chr8:70159504-70162854:-	168.78	425.931	101.592	70.424	495.745	0	233.467	138.104	268.566	0	245.672	0
exo_circ_000154	chr11:128768117-128782023:+	527.437	1432.679	493.447	457.755	1404.61	0	1089.511	745.764	725.127	482.253	491.344	421.414
exo_circ_000155	chr12:120782654-120784593:-	569.632	290.408	667.605	1126.78	0	411.577	0	82.863	429.705	0	684.373	259.332
exo_circ_000156	chr13:95757643-95763953:+	991.582	348.489	1015.921	1161.992	371.809	0	809.351	1049.593	501.323	795.718	754.565	551.08
exo_circ_000157	chr14:50150007-50150230:-	907.192	968.026	1117.513	193.665	702.305	299.328	498.062	386.692	546.084	843.943	210.576	988.703
exo_circ_000158	chr15:62007307-62013992:-	2721.576	3755.941	4150.763	4700.787	2024.291	0	3221.84	2043.945	2667.753	2266.59	1649.513	1734.282
exo_circ_000159	chr21:37420298-37472880:+	801.705	387.21	464.421	264.089	165.248	299.328	669.271	580.038	743.032	96.451	35.096	972.495
exo_circ_000160	chr1:30992389-30995220:-	105.487	154.884	449.908	950.721	1156.738	0	0	138.104	161.139	385.802	333.412	567.289
exo_circ_000161	chr3:71015548-71053773:-	84.39	77.442	58.053	211.271	41.312	0	46.693	138.104	107.426	120.563	0	194.499
exo_circ_000162	chr3:71690009-71699708:-	1012.68	1645.644	1204.592	457.755	743.617	2282.379	451.369	359.071	438.657	1205.633	982.689	2706.777
exo_circ_000163	chr4:53425871-53428183:+	1202.557	832.502	885.303	774.662	1156.738	0	840.48	1519.148	1020.55	482.253	947.593	178.291
exo_circ_000164	chr4:73085248-73092300:-	189.877	387.21	348.316	158.453	454.433	0	357.982	165.725	17.904	313.465	228.124	356.581
exo_circ_000165	chr5:172055587-172057473:-	0	329.129	551.5	633.814	578.369	1272.146	93.387	55.242	44.761	289.352	561.537	340.373
exo_circ_000166	chr7:130120748-130122202:+	189.877	619.537	203.184	651.42	330.497	0	607.013	138.104	599.797	24.113	210.576	0
exo_circ_000167	chr8:141253988-141254629:-	632.925	716.339	609.553	880.297	82.624	112.248	217.902	1049.593	519.227	723.38	438.7	859.037
exo_circ_000168	chr9:37126311-37126942:+	232.072	290.408	761.941	950.721	1239.362	523.825	0	303.83	179.044	699.267	543.988	0
exo_circ_000169	chr18:62539680-62550460:+	253.17	425.931	319.289	193.665	330.497	224.496	451.369	524.797	375.992	361.69	122.836	32.416
exo_circ_000170	chr18:76849525-76851939:+	358.657	38.721	507.96	492.966	0	0	715.964	359.071	358.088	819.83	666.825	0
exo_circ_000171	chr20:41092471-41101353:+	443.047	174.245	536.987	105.636	702.305	523.825	171.209	138.104	143.235	265.239	193.028	259.332
exo_circ_000172	chr20:48953555-48963898:+	506.34	309.768	638.579	0	1487.235	1272.146	295.724	220.967	277.518	578.704	315.864	259.332
exo_circ_000173	chr1:32948221-32949774:-	84.39	212.966	101.592	352.119	247.872	374.16	46.693	55.242	71.618	0	631.729	0
exo_circ_000174	chr2:135675331-135680324:+	168.78	271.047	348.316	140.848	82.624	0	249.031	55.242	259.614	24.113	105.288	0
exo_circ_000175	chr3:160413472-160414517:+	253.17	464.653	319.289	299.301	660.993	1833.386	607.013	276.209	635.606	337.577	0	1442.534
exo_circ_000176	chr3:170171372-170178938:-	168.78	135.524	638.579	316.907	743.617	299.328	824.916	414.313	429.705	868.056	263.22	145.874
exo_circ_000177	chr4:36228581-36229645:-	0	232.326	174.158	475.36	289.184	1983.051	46.693	414.313	17.904	361.69	105.288	1037.328
exo_circ_000178	chr4:37631384-37638504:-	295.365	116.163	232.21	422.543	371.809	0	0	469.555	53.713	916.281	228.124	1410.117
exo_circ_000179	chr4:48369848-48383784:+	843.9	1064.829	391.855	1091.569	578.369	0	1151.769	1298.181	1235.402	120.563	1245.909	583.497
exo_circ_000180	chr5:43675510-43677806:+	2088.652	1839.25	1567.421	1813.412	1032.802	748.321	918.302	1629.632	2014.243	1085.069	1368.745	1004.911
exo_circ_000181	chr6:154773988-154795139:+	400.852	522.734	145.132	352.119	0	0	77.822	220.967	196.948	0	315.864	194.499
exo_circ_000182	chr8:18011236-18011827:+	337.56	696.979	304.776	334.513	1404.61	74.832	342.418	248.588	125.331	192.901	175.48	1523.575
exo_circ_000183	chr8:668597-674047:-	63.292	387.21	101.592	211.271	413.121	149.664	0	82.863	152.187	313.465	87.74	0
exo_circ_000184	chr10:68959805-68960249:+	189.877	174.245	493.447	0	0	1085.065	529.191	331.451	277.518	120.563	87.74	0
exo_circ_000185	chr11:107390073-107392895:-	590.73	464.653	624.066	580.996	371.809	149.664	342.418	386.692	939.98	554.591	0	0
