exo_circ_ID	CircRNA	CHD1	CHD2	CHD3	CHD4	CHD5	CHD6
exo_circ_000205	chr20:62139074-62140944:-	1490.101	0	105.769	0	359.951	0
exo_circ_000206	chr1:114463103-114464388:-	0	3262.113	673.074	0	0	2962.683
exo_circ_000207	chr1:20770929-20773610:-	0	1507.375	365.383	112.835	1029.861	0
exo_circ_000208	chr2:226864603-226914351:+	0	0	0	773.722	609.918	0
exo_circ_000209	chr2:37316236-37317179:-	0	0	76.923	0	569.923	0
exo_circ_000210	chr3:151116337-151127984:+	0	0	759.612	951.034	0	0
exo_circ_000211	chr3:47097954-47106120:-	0	0	413.46	80.596	269.964	0
exo_circ_000212	chr6:130184102-130184623:-	1322.674	0	0	3916.97	459.938	0
exo_circ_000214	chr6:42603587-42606651:+	0	3068.86	817.304	0	0	1701.967
exo_circ_000215	chr7:23185069-23187146:+	1230.589	0	451.921	0	1059.857	0
exo_circ_000216	chr8:98706466-98707311:-	0	0	230.768	0	0	0
exo_circ_000217	chr9:33960825-33989126:-	1121.761	0	0	0	809.891	0
exo_circ_000218	chr9:33986759-34017189:-	259.512	0	682.689	0	1689.772	0
exo_circ_000219	chr10:5773841-5800705:-	0	0	1009.611	0	629.915	0
exo_circ_000220	chr10:7276891-7285954:-	0	1576.946	0	604.471	1579.787	0
exo_circ_000221	chr10:7797046-7802854:+	251.141	0	0	0	1089.853	0
exo_circ_000222	chr11:119284968-119285566:+	0	873.504	461.536	257.907	0	0
exo_circ_000223	chr12:19462509-19473355:+	0	687.981	0	1998.783	0	8867.036
exo_circ_000224	chr14:30947089-30956242:-	0	0	249.999	1748.935	0	1638.931
exo_circ_000225	chr14:65615977-65629606:+	2653.719	0	144.23	0	759.897	0
exo_circ_000226	chr15:51869216-51902036:+	0	0	307.691	0	329.955	0
exo_circ_000227	chr17:78004169-78031842:+	1155.247	0	240.383	2079.379	199.973	0
exo_circ_000228	chr21:15833347-15842540:+	569.252	0	0	0	559.924	0
exo_circ_000229	chrX:119640691-119653040:-	460.424	0	0	1104.166	319.957	1050.597
exo_circ_000230	chr1:28473553-28476291:+	0	0	76.923	0	0	0
exo_circ_000231	chr1:33280123-33281811:+	2385.836	726.632	557.69	1402.372	519.93	0
exo_circ_000233	chr2:202464808-202467689:+	0	0	0	0	739.9	0
exo_circ_000235	chr3:31576395-31580096:+	0	0	0	354.623	569.923	0
exo_circ_000236	chr3:71684571-71699708:-	318.111	3242.788	0	548.053	539.927	0
exo_circ_000237	chr5:65988634-65994864:+	7492.361	0	0	2176.094	2459.668	0
exo_circ_000238	chr6:13579450-13584225:+	1130.133	0	230.768	0	0	1218.692
exo_circ_000239	chr7:5641153-5652510:-	0	2558.672	0	0	1339.819	2584.468
exo_circ_000240	chr9:2191265-2192802:+	443.682	0	0	942.974	889.88	0
exo_circ_000241	chr10:17704430-17705741:+	845.507	0	721.15	3876.672	309.958	357.203
exo_circ_000242	chr12:66203710-66228370:+	0	0	403.844	0	639.914	0
exo_circ_000243	chr13:32535768-32537027:-	0	0	201.922	1144.464	0	5379.055
exo_circ_000244	chr14:30935162-30956242:-	0	0	192.307	0	0	0
exo_circ_000245	chr15:75859877-75873568:+	0	6964.843	0	2256.69	3859.479	0
exo_circ_000246	chr1:155675009-155679512:-	0	0	1682.684	0	0	0
exo_circ_000248	chr1:180003173-180006567:+	954.334	2991.559	192.307	0	879.881	0
exo_circ_000249	chr1:51402434-51408332:-	1264.074	0	528.844	0	0	0
exo_circ_000250	chr1:65364634-65366196:+	0	0	624.997	951.034	669.91	0
exo_circ_000251	chr1:92333390-92380873:+	0	0	86.538	0	129.982	0
exo_circ_000252	chr3:171188701-171194635:-	0	0	0	3562.347	99.987	0
exo_circ_000253	chr5:132892163-132893118:-	0	0	942.303	0	369.95	0
exo_circ_000254	chr7:129014978-129018157:-	0	0	336.537	0	0	0
exo_circ_000255	chr8:51860860-51861246:-	987.82	0	0	1047.749	379.949	0
exo_circ_000256	chr10:87508335-87521169:+	1088.276	0	0	0	269.964	0
exo_circ_000257	chr12:111658735-111659345:-	0	0	0	0	509.931	0
exo_circ_000258	chr13:26400452-26401624:+	0	0	0	0	1119.849	0
exo_circ_000259	chr13:28174271-28177935:+	0	0	548.074	0	1289.826	0
exo_circ_000260	chr17:28163542-28172618:+	0	0	2230.759	2369.525	0	0
exo_circ_000261	chr19:19640084-19640571:-	1113.39	0	0	0	319.957	0
exo_circ_000262	chr19:50398850-50399484:+	853.878	0	403.844	0	649.912	0
exo_circ_000263	chr20:47246007-47246517:-	0	0	413.46	991.332	539.927	0
exo_circ_000264	chr1:243415701-243426558:+	678.08	1051.297	0	0	0	0
exo_circ_000265	chr1:45640209-45642499:-	0	0	201.922	0	0	0
exo_circ_000266	chr2:214767481-214781509:-	0	0	653.843	0	0	0
exo_circ_000267	chr2:239990073-240007370:-	0	0	0	0	929.874	0
exo_circ_000268	chr2:70224553-70230854:-	0	0	0	0	119.984	0
exo_circ_000269	chr3:149846010-149921227:+	0	0	1038.457	0	339.954	2878.635
exo_circ_000270	chr3:47635189-47636136:-	0	2991.559	76.923	1998.783	399.946	0
exo_circ_000271	chr4:17814852-17815358:+	0	0	115.384	0	139.981	0
exo_circ_000272	chr5:69174876-69175537:+	1238.96	0	749.996	951.034	1229.834	0
exo_circ_000273	chr6:7303549-7310029:-	0	0	0	233.729	1539.792	0
exo_circ_000274	chr8:67131950-67137603:+	0	0	124.999	1079.988	0	0
exo_circ_000275	chr14:34862043-34862322:-	0	0	557.69	0	0	3403.933
exo_circ_000276	chr17:19958013-19958571:-	0	0	76.923	0	709.904	0
exo_circ_000277	chr22:20933778-20934244:+	251.141	0	288.46	709.246	0	0
exo_circ_000278	chr1:185214506-185231708:+	0	0	615.382	0	419.943	0
exo_circ_000279	chr1:23030468-23050520:+	217.655	0	826.919	652.828	349.953	0
exo_circ_000281	chr3:119500694-119504021:+	1255.703	0	2163.451	1966.545	969.869	0
exo_circ_000283	chr3:56627036-56628614:-	1632.414	0	346.152	0	0	2059.17
exo_circ_000284	chr6:75621531-75634811:+	0	0	1086.533	2216.392	0	0
exo_circ_000285	chr7:149018991-149021147:-	0	0	0	862.378	349.953	0
exo_circ_000286	chr7:152249875-152250966:-	0	0	0	435.219	729.901	0
exo_circ_000287	chr7:18666212-18666476:+	0	0	461.536	2804.744	0	0
exo_circ_000288	chr10:89751345-89762835:+	0	0	1432.685	0	419.943	0
exo_circ_000289	chr12:28305648-28307749:+	3741.995	0	355.768	0	0	0
exo_circ_000290	chr15:90441505-90443478:+	996.191	0	596.151	0	279.962	0
exo_circ_000291	chr16:98144-100509:-	2226.78	0	0	1176.703	289.961	0
exo_circ_000292	chr17:75242335-75243570:-	0	0	0	1474.908	0	0
exo_circ_000294	chr1:28035543-28058094:-	585.995	0	115.384	0	579.922	0
exo_circ_000295	chr2:64572945-64585545:+	0	0	19.231	0	869.883	0
exo_circ_000296	chr3:168036835-168041474:-	887.363	0	0	0	0	3361.91
exo_circ_000297	chr4:102304316-102315830:-	0	4676.726	0	0	479.935	0
exo_circ_000298	chr4:6994183-7001251:+	0	0	0	0	984.867	0
exo_circ_000299	chr6:30670409-30671274:-	0	432.887	1365.378	0	579.922	4580.602
exo_circ_000300	chr7:35667433-35673278:-	1255.703	0	0	0	719.903	0
exo_circ_000301	chr7:92294888-92327900:+	0	0	230.768	0	449.939	2731.552
exo_circ_000302	chr9:121161855-121166180:+	0	0	0	1628.041	0	1155.656
exo_circ_000303	chr9:83678440-83686155:-	0	0	0	0	579.922	0
exo_circ_000304	chr11:128768117-128772985:+	8.371	0	230.768	0	139.981	0
exo_circ_000305	chr11:47358843-47375729:-	0	1120.868	211.537	0	0	0
exo_circ_000306	chr17:64052779-64053371:-	0	0	0	0	119.984	0
exo_circ_000307	chr19:23358429-23362725:-	1607.3	1174.979	0	0	529.928	2668.516
exo_circ_000308	chr19:38141183-38142710:+	0	0	115.384	0	189.974	0
exo_circ_000309	chr20:32366383-32369123:+	0	0	0	0	719.903	0
exo_circ_000310	chr1:15638306-15643650:+	0	0	0	0	39.995	0
exo_circ_000312	chr1:235830225-235833667:-	0	0	0	0	1199.838	0
exo_circ_000313	chr2:23823257-23823569:-	686.451	0	1374.993	0	469.937	0
exo_circ_000314	chr2:60891682-60901083:+	1004.562	1994.372	105.769	1370.134	0	3340.898
exo_circ_000315	chr3:193657079-193667280:+	468.796	0	0	0	0	0
exo_circ_000316	chr4:39326562-39327756:-	0	0	0	918.795	699.906	0
exo_circ_000317	chr5:87331347-87338091:+	1732.87	0	0	0	0	0
exo_circ_000318	chr12:11869423-11869969:+	0	0	0	805.961	269.964	0
exo_circ_000319	chr12:121780871-121781192:-	2076.096	0	0	934.915	0	0
exo_circ_000320	chr12:123586746-123590449:+	0	0	1538.454	725.365	0	0
exo_circ_000321	chr12:47104112-47108164:+	0	0	0	693.126	19.997	0
exo_circ_000322	chr14:99257470-99257839:-	1038.048	0	192.307	0	309.958	0
exo_circ_000323	chr16:58559803-58560362:-	870.621	0	0	0	0	0
exo_circ_000324	chr17:56848695-56856625:+	0	0	374.998	0	169.977	0
exo_circ_000325	chr18:42027442-42049605:+	401.825	0	0	959.093	629.915	0
exo_circ_000326	chr19:5047475-5082504:+	0	734.362	278.845	0	0	0
exo_circ_000327	chr21:37420298-37421866:+	234.398	595.22	0	1039.69	0	0
exo_circ_000328	chr1:155438326-155439068:-	385.082	0	0	2071.319	1329.82	0
exo_circ_000329	chr1:88740987-88771879:+	761.793	0	9.615	0	0	0
