exo_circ_ID	CircRNA	WhB1	WhB2	WhB3	WhB4	WhB5
exo_circ_000077	chr4:53414614-53428183:+	582.096	349.218	336.801	183.992	344.781
exo_circ_000078	chr6:13632369-13644729:-	679.112	850.269	613.727	493.873	707.708
exo_circ_000079	chr7:139715931-139717015:-	69.297	45.55	56.134	19.368	18.146
exo_circ_000080	chr8:130152735-130180880:-	2661.012	2262.323	1380.885	1433.199	1674.001
exo_circ_000081	chr11:108176245-108177090:-	1385.944	1594.255	2952.623	2372.525	2359.026
exo_circ_000082	chr11:68551120-68564432:+	457.361	409.951	639.922	416.402	449.122
exo_circ_000083	chr16:24032135-24035547:+	97.016	75.917	56.134	38.735	72.585
exo_circ_000084	chr18:21765771-21779685:+	69.297	182.201	97.298	116.205	131.561
exo_circ_000085	chr18:47865058-47896809:-	69.297	121.467	52.391	77.47	113.415
exo_circ_000086	chr18:9195550-9221999:+	152.454	197.384	89.814	116.205	163.317
exo_circ_000087	chr19:18147442-18147624:+	110.876	167.017	71.102	0	63.512
exo_circ_000088	chr21:15762890-15766141:+	1968.04	2216.773	1534.316	1433.199	1701.22
exo_circ_000089	chrX:53403565-53403893:-	3312.406	2156.04	5583.414	7611.448	3025.904
exo_circ_000090	chr1:155438326-155459898:-	360.345	409.951	202.081	261.462	244.976
exo_circ_000091	chr1:205616477-205623891:-	388.064	273.301	284.41	416.402	313.025
exo_circ_000092	chr1:7777159-7778169:+	1164.193	1806.822	636.18	590.71	580.683
exo_circ_000093	chr1:9931890-9934860:-	887.004	1457.604	972.981	1481.618	1011.659
exo_circ_000094	chr2:112299848-112300029:+	2328.386	2611.541	3165.931	4144.656	2036.928
exo_circ_000095	chr2:226864603-226867318:+	1122.614	1472.788	965.497	871.54	1038.879
exo_circ_000096	chr3:196487398-196488683:-	41.578	15.183	138.463	222.727	86.195
exo_circ_000097	chr5:123545416-123557564:+	471.221	895.819	486.491	803.753	857.415
exo_circ_000098	chr7:152309965-152315338:-	124.735	288.484	116.009	145.257	163.317
exo_circ_000099	chr8:22474953-22475624:+	0	45.55	37.422	48.419	22.683
exo_circ_000100	chr10:110596397-110598290:+	152.454	212.567	295.637	193.676	290.342
exo_circ_000101	chr11:72984087-72989097:-	194.032	197.384	157.174	87.154	190.537
exo_circ_000102	chr16:68121986-68126610:+	388.064	501.051	426.615	358.3	349.317
exo_circ_000103	chr17:67945408-67975958:+	471.221	364.401	250.73	271.146	381.073
exo_circ_000104	chr19:8455404-8463686:+	3852.924	3370.71	3195.869	3883.194	3352.538
exo_circ_000105	chr22:41172498-41173784:+	180.173	364.401	123.494	145.257	122.488
exo_circ_000106	chr3:170122590-170129552:-	83.157	212.567	101.04	87.154	90.732
exo_circ_000107	chr3:56592969-56594028:+	803.847	986.92	740.963	794.07	916.391
exo_circ_000108	chr4:177353307-177353728:+	3534.157	3279.609	4876.132	5606.906	2590.392
exo_circ_000109	chr5:32135571-32143880:-	291.048	364.401	190.854	338.932	190.537
exo_circ_000110	chr6:130926604-130956499:-	0	0	3.742	0	0
exo_circ_000111	chr7:155665174-155680908:+	803.847	804.719	441.584	677.864	703.171
exo_circ_000112	chr9:75016267-75017448:-	152.454	121.467	116.009	125.889	176.927
exo_circ_000113	chr10:34269656-34284245:-	27.719	136.65	37.422	19.368	27.22
exo_circ_000114	chr10:68787926-68788328:+	235.61	106.284	441.584	290.513	367.464
exo_circ_000115	chr13:99238426-99244624:+	235.61	273.301	254.472	300.197	249.512
exo_circ_000116	chr15:93000511-93009323:+	235.61	349.218	194.596	261.462	213.22
exo_circ_000117	chr16:80684537-80685129:-	41.578	45.55	29.938	48.419	27.22
exo_circ_000118	chr17:59731420-59738947:+	97.016	273.301	213.307	319.565	276.732
exo_circ_000119	chr21:14991200-15043574:-	55.438	106.284	123.494	29.051	72.585
exo_circ_000120	chr21:46349011-46349820:+	5294.305	5010.514	4135.17	5568.171	4241.709
exo_circ_000121	chrX:44524001-44527365:-	138.594	106.284	138.463	164.624	181.464
exo_circ_000122	chrX:77652113-77656653:-	221.751	121.467	218.921	367.983	154.244
exo_circ_000123	chr1:29154695-29154910:-	679.112	607.335	842.003	493.873	553.464
exo_circ_000124	chr3:3137259-3144710:+	443.502	303.668	325.574	300.197	335.707
exo_circ_000125	chr3:50065030-50066502:+	138.594	227.751	149.689	87.154	113.415
exo_circ_000126	chr4:177353307-177360677:+	1746.289	2991.125	2338.897	3892.878	2227.465
exo_circ_000127	chr6:116689319-116705160:+	55.438	45.55	56.134	67.786	58.976
exo_circ_000128	chr6:144537581-144539443:+	152.454	182.201	123.494	106.522	108.878
exo_circ_000129	chr6:16326393-16328470:-	13.859	60.734	26.196	77.47	31.756
exo_circ_000130	chr6:18236451-18258405:-	540.518	576.968	827.034	765.018	612.439
exo_circ_000131	chr6:7176654-7189322:+	13.859	15.183	14.969	19.368	31.756
exo_circ_000132	chr8:51845660-51861246:-	221.751	440.318	217.05	377.667	521.708
exo_circ_000133	chr8:70213902-70216764:-	706.831	1017.286	1586.708	1452.566	1587.806
exo_circ_000134	chr9:33948373-33953474:-	443.502	379.584	280.668	183.992	335.707
exo_circ_000135	chr11:86022366-86031611:-	803.847	561.785	924.332	445.454	712.244
exo_circ_000136	chr14:21503172-21503881:-	124.735	45.55	93.556	67.786	58.976
exo_circ_000137	chr14:52536718-52544371:-	665.253	743.985	684.829	697.232	834.732
exo_circ_000138	chr15:63696123-63716473:-	512.799	592.152	291.894	319.565	362.927
exo_circ_000139	chr15:94440175-94458246:+	13.859	45.55	37.422	67.786	49.902
exo_circ_000140	chr16:22349278-22349849:-	41.578	45.55	44.907	48.419	22.683
exo_circ_000141	chr1:35358924-35361789:+	27.719	136.65	93.556	145.257	140.634
exo_circ_000142	chr2:58221941-58232112:-	2134.353	1761.272	1612.903	2101.379	2068.684
exo_circ_000143	chr2:8908620-8958642:-	5086.414	5617.85	4355.961	5897.42	5711.564
exo_circ_000144	chr3:129880308-129880559:-	138.594	151.834	130.978	121.047	65.781
exo_circ_000145	chr4:150798080-150817257:-	124.735	258.117	157.174	222.727	181.464
exo_circ_000146	chr4:38089931-38103157:+	27.719	75.917	74.845	106.522	122.488
exo_circ_000147	chr4:73090666-73092300:-	318.767	303.668	243.245	261.462	136.098
exo_circ_000148	chr5:103096540-103097781:-	124.735	121.467	89.814	116.205	58.976
exo_circ_000149	chr5:139363758-139364743:+	1399.803	1184.303	1253.649	987.745	1147.757
exo_circ_000150	chr5:66053405-66054951:+	110.876	334.034	344.286	329.248	349.317
exo_circ_000151	chr6:13639562-13644729:-	803.847	1108.387	838.261	600.394	925.464
exo_circ_000152	chr7:103321931-103322794:-	471.221	227.751	553.851	581.027	372
exo_circ_000153	chr8:70159504-70162854:-	194.032	288.484	269.441	377.667	313.025
exo_circ_000154	chr11:128768117-128782023:+	27.719	60.734	48.649	87.154	81.659
exo_circ_000155	chr12:120782654-120784593:-	1275.068	1442.421	1163.835	1346.045	1265.708
exo_circ_000156	chr13:95757643-95763953:+	69.297	197.384	59.876	58.103	145.171
exo_circ_000157	chr14:50150007-50150230:-	1011.739	1169.12	1092.733	1045.848	1043.415
exo_circ_000158	chr15:62007307-62013992:-	401.924	303.668	475.264	590.71	694.098
exo_circ_000159	chr21:37420298-37472880:+	221.751	167.017	108.525	77.47	136.098
exo_circ_000160	chr1:30992389-30995220:-	41.578	75.917	71.102	38.735	31.756
exo_circ_000161	chr3:71015548-71053773:-	0	30.367	11.227	0	18.146
exo_circ_000162	chr3:71690009-71699708:-	152.454	136.65	48.649	19.368	54.439
exo_circ_000163	chr4:53425871-53428183:+	1205.771	713.619	643.664	629.445	598.83
exo_circ_000164	chr4:73085248-73092300:-	110.876	151.834	93.556	106.522	140.634
exo_circ_000165	chr5:172055587-172057473:-	13.859	15.183	18.711	9.684	31.756
exo_circ_000166	chr7:130120748-130122202:+	207.892	288.484	258.214	242.094	340.244
exo_circ_000167	chr8:141253988-141254629:-	277.189	288.484	101.04	77.47	95.268
exo_circ_000168	chr9:37126311-37126942:+	332.627	409.951	166.529	285.671	328.903
exo_circ_000169	chr18:62539680-62550460:+	623.675	592.152	557.593	600.394	603.366
exo_circ_000170	chr18:76849525-76851939:+	1205.771	1093.203	883.167	1016.797	1125.074
exo_circ_000171	chr20:41092471-41101353:+	887.004	911.003	613.727	706.916	703.171
exo_circ_000172	chr20:48953555-48963898:+	83.157	60.734	26.196	19.368	22.683
exo_circ_000173	chr1:32948221-32949774:-	83.157	197.384	82.329	77.47	99.805
exo_circ_000174	chr2:135675331-135680324:+	540.518	288.484	501.459	513.24	521.708
exo_circ_000175	chr3:160413472-160414517:+	914.723	576.968	830.776	987.745	666.878
exo_circ_000176	chr3:170171372-170178938:-	41.578	45.55	37.422	29.051	49.902
exo_circ_000177	chr4:36228581-36229645:-	97.016	45.55	112.267	135.573	54.439
exo_circ_000178	chr4:37631384-37638504:-	1746.289	1245.037	1302.298	997.429	866.488
exo_circ_000179	chr4:48369848-48383784:+	429.643	516.235	275.054	358.3	258.585
exo_circ_000180	chr5:43675510-43677806:+	152.454	227.751	205.823	203.359	204.146
exo_circ_000181	chr6:154773988-154795139:+	124.735	30.367	145.947	87.154	145.171
exo_circ_000182	chr8:18011236-18011827:+	138.594	106.284	119.752	116.205	104.342
exo_circ_000183	chr8:668597-674047:-	0	121.467	7.484	58.103	27.22
exo_circ_000184	chr10:68959805-68960249:+	415.783	258.117	329.317	329.248	462.732
exo_circ_000185	chr11:107390073-107392895:-	194.032	167.017	198.338	125.889	235.903
exo_circ_000186	chr11:108267170-108267342:+	124.735	106.284	153.432	203.359	117.951
exo_circ_000187	chr11:130260855-130261929:-	221.751	182.201	86.071	154.94	140.634
exo_circ_000188	chr13:21167987-21168399:-	859.285	668.069	827.034	619.762	685.025
exo_circ_000189	chr13:40940920-40943925:-	41.578	136.65	89.814	77.47	72.585
exo_circ_000190	chr14:65561336-65561766:+	55.438	212.567	56.134	48.419	122.488
exo_circ_000191	chr17:29451454-29451680:+	221.751	334.034	190.854	232.411	244.976
exo_circ_000192	chr1:113829591-113834439:-	221.751	364.401	243.245	174.308	240.439
exo_circ_000193	chr1:154234590-154235291:+	194.032	349.218	194.596	213.043	158.781
exo_circ_000194	chr1:28473553-28474151:+	83.157	91.1	78.587	58.103	31.756
exo_circ_000195	chr2:171925536-171953001:+	1261.209	1199.487	1508.121	1258.891	1660.391
exo_circ_000196	chr2:200856681-200856985:-	1455.241	1670.171	1811.242	1772.131	1968.879
exo_circ_000197	chr3:169976945-169988359:+	1053.317	926.186	935.559	1123.318	848.342
exo_circ_000198	chr4:10097710-10103986:-	83.157	106.284	74.845	29.051	54.439
exo_circ_000199	chr4:39737419-39774933:+	249.47	288.484	202.081	222.727	213.22
exo_circ_000200	chr4:55411613-55417985:+	401.924	592.152	205.823	290.513	276.732
exo_circ_000201	chr11:76463820-76472840:+	97.016	167.017	134.72	87.154	167.854
exo_circ_000202	chr15:65178933-65180204:-	1330.506	1199.487	699.798	1074.899	798.439
exo_circ_000203	chr16:23988507-24035547:+	27.719	75.917	37.422	58.103	18.146
exo_circ_000204	chr20:41533049-41551360:-	97.016	60.734	82.329	116.205	81.659
exo_circ_000205	chr20:62139074-62140944:-	27.719	121.467	59.876	67.786	31.756
exo_circ_000206	chr1:114463103-114464388:-	374.205	409.951	303.121	174.308	208.683
exo_circ_000207	chr1:20770929-20773610:-	970.161	789.536	718.509	726.283	907.318
exo_circ_000208	chr2:226864603-226914351:+	166.313	470.685	250.73	280.83	258.585
exo_circ_000209	chr2:37316236-37317179:-	97.016	151.834	71.102	116.205	63.512
exo_circ_000210	chr3:151116337-151127984:+	69.297	121.467	179.627	154.94	127.024
exo_circ_000211	chr3:47097954-47106120:-	1538.398	1184.303	1014.146	1365.412	1270.245
exo_circ_000212	chr6:130184102-130184623:-	83.157	91.1	41.165	96.838	49.902
exo_circ_000213	chr6:144537581-144542870:+	55.438	75.917	0	77.47	36.293
exo_circ_000214	chr6:42603587-42606651:+	124.735	75.917	153.432	154.94	222.293
exo_circ_000215	chr7:23185069-23187146:+	110.876	258.117	116.009	145.257	167.854
exo_circ_000216	chr8:98706466-98707311:-	55.438	151.834	183.37	106.522	122.488
exo_circ_000217	chr9:33960825-33989126:-	845.426	698.435	740.963	687.548	635.122
exo_circ_000218	chr9:33986759-34017189:-	401.924	212.567	329.317	387.351	381.073
exo_circ_000219	chr10:5773841-5800705:-	166.313	75.917	179.627	135.573	117.951
exo_circ_000220	chr10:7276891-7285954:-	138.594	106.284	190.854	193.676	113.415
exo_circ_000221	chr10:7797046-7802854:+	97.016	182.201	153.432	145.257	149.707
exo_circ_000222	chr11:119284968-119285566:+	41.578	60.734	18.711	19.368	36.293
exo_circ_000223	chr12:19462509-19473355:+	27.719	151.834	63.618	77.47	58.976
exo_circ_000224	chr14:30947089-30956242:-	540.518	440.318	1088.99	803.753	889.171
exo_circ_000225	chr14:65615977-65629606:+	41.578	60.734	44.907	19.368	54.439
exo_circ_000226	chr15:51869216-51902036:+	27.719	30.367	59.876	29.051	36.293
exo_circ_000227	chr17:78004169-78031842:+	138.594	121.467	101.04	106.522	95.268
exo_circ_000228	chr21:15833347-15842540:+	249.47	379.584	370.481	551.975	635.122
exo_circ_000229	chrX:119640691-119653040:-	0	15.183	18.711	19.368	27.22
exo_circ_000230	chr1:28473553-28476291:+	0	151.834	89.814	48.419	18.146
exo_circ_000231	chr1:33280123-33281811:+	0	0	0	9.684	4.537
exo_circ_000232	chr1:58506059-58536741:-	69.297	0	29.938	38.735	40.829
exo_circ_000233	chr2:202464808-202467689:+	360.345	91.1	224.534	106.522	163.317
exo_circ_000234	chr2:24135118-24147086:+	180.173	349.218	598.758	406.719	285.805
exo_circ_000235	chr3:31576395-31580096:+	318.767	242.934	209.565	145.257	158.781
exo_circ_000236	chr3:71684571-71699708:-	83.157	15.183	18.711	48.419	54.439
exo_circ_000237	chr5:65988634-65994864:+	1053.317	1184.303	1025.372	658.497	975.366
exo_circ_000238	chr6:13579450-13584225:+	914.723	713.619	1002.919	590.71	1057.025
exo_circ_000239	chr7:5641153-5652510:-	41.578	60.734	86.071	183.992	131.561
exo_circ_000240	chr9:2191265-2192802:+	138.594	121.467	202.081	145.257	167.854
exo_circ_000241	chr10:17704430-17705741:+	582.096	576.968	583.789	881.224	748.537
exo_circ_000242	chr12:66203710-66228370:+	97.016	136.65	63.618	164.624	63.512
exo_circ_000243	chr13:32535768-32537027:-	27.719	30.367	41.165	38.735	40.829
exo_circ_000244	chr14:30935162-30956242:-	498.94	349.218	520.171	445.454	392.415
exo_circ_000247	chr1:172551511-172557794:+	803.847	1108.387	733.478	794.07	562.537
exo_circ_000248	chr1:180003173-180006567:+	831.566	1108.387	1032.857	648.813	666.878
exo_circ_000249	chr1:51402434-51408332:-	277.189	197.384	172.143	154.94	145.171
exo_circ_000250	chr1:65364634-65366196:+	7123.751	7758.706	9157.249	9654.725	9749.127
exo_circ_000251	chr1:92333390-92380873:+	55.438	91.1	52.391	38.735	104.342
exo_circ_000252	chr3:171188701-171194635:-	0	60.734	56.134	67.786	49.902
exo_circ_000253	chr5:132892163-132893118:-	166.313	227.751	183.37	261.462	145.171
exo_circ_000254	chr7:129014978-129018157:-	55.438	30.367	97.298	96.838	58.976
exo_circ_000255	chr8:51860860-51861246:-	194.032	288.484	265.699	232.411	367.464
exo_circ_000256	chr10:87508335-87521169:+	623.675	941.369	834.518	987.745	825.659
exo_circ_000257	chr12:111658735-111659345:-	374.205	242.934	276.925	154.94	313.025
exo_circ_000258	chr13:26400452-26401624:+	776.129	683.252	1047.826	852.172	816.586
exo_circ_000259	chr13:28174271-28177935:+	762.269	743.985	935.559	774.702	898.244
exo_circ_000260	chr17:28163542-28172618:+	166.313	303.668	217.05	261.462	199.61
exo_circ_000261	chr19:19640084-19640571:-	97.016	75.917	59.876	67.786	68.049
exo_circ_000262	chr19:50398850-50399484:+	0	30.367	56.134	38.735	31.756
exo_circ_000263	chr20:47246007-47246517:-	291.048	303.668	235.761	145.257	231.366
exo_circ_000264	chr1:243415701-243426558:+	97.016	91.1	119.752	145.257	72.585
exo_circ_000265	chr1:45640209-45642499:-	2092.775	2368.607	1788.788	1491.302	1714.83
exo_circ_000266	chr2:214767481-214781509:-	69.297	121.467	101.04	87.154	45.366
exo_circ_000267	chr2:239990073-240007370:-	471.221	364.401	404.161	271.146	390.147
exo_circ_000268	chr2:70224553-70230854:-	55.438	106.284	52.391	67.786	95.268
exo_circ_000269	chr3:149846010-149921227:+	332.627	501.051	396.677	387.351	415.098
exo_circ_000270	chr3:47635189-47636136:-	13.859	45.55	41.165	67.786	68.049
exo_circ_000271	chr4:17814852-17815358:+	5225.008	4752.397	6979.268	4812.837	5938.393
exo_circ_000272	chr5:69174876-69175537:+	942.442	485.868	479.006	309.881	639.659
exo_circ_000273	chr6:7303549-7310029:-	27.719	91.1	101.04	125.889	113.415
exo_circ_000274	chr8:67131950-67137603:+	498.94	425.135	318.09	300.197	231.366
exo_circ_000275	chr14:34862043-34862322:-	789.988	485.868	658.633	900.591	812.049
exo_circ_000276	chr17:19958013-19958571:-	83.157	121.467	63.618	77.47	54.439
exo_circ_000277	chr22:20933778-20934244:+	41.578	45.55	0	19.368	4.537
exo_circ_000278	chr1:185214506-185231708:+	1995.759	2064.939	3353.042	4357.699	4141.904
exo_circ_000279	chr1:23030468-23050520:+	221.751	197.384	97.298	164.624	154.244
exo_circ_000280	chr2:144208602-144211579:-	637.534	1078.02	508.944	522.924	598.83
exo_circ_000281	chr3:119500694-119504021:+	194.032	425.135	366.739	338.932	90.732
exo_circ_000282	chr3:170136418-170178938:-	55.438	0	11.227	38.735	9.073
exo_circ_000283	chr3:56627036-56628614:-	595.956	668.069	647.407	590.71	734.927
exo_circ_000284	chr6:75621531-75634811:+	138.594	197.384	160.916	203.359	181.464
exo_circ_000285	chr7:149018991-149021147:-	0	15.183	29.938	19.368	27.22
exo_circ_000286	chr7:152249875-152250966:-	734.55	986.92	707.282	532.608	793.903
exo_circ_000287	chr7:18666212-18666476:+	0	30.367	29.938	19.368	22.683
exo_circ_000288	chr10:89751345-89762835:+	734.55	516.235	617.469	861.856	616.976
exo_circ_000289	chr12:28305648-28307749:+	69.297	167.017	93.556	96.838	122.488
exo_circ_000290	chr15:90441505-90443478:+	138.594	75.917	48.649	87.154	127.024
exo_circ_000291	chr16:98144-100509:-	69.297	60.734	93.556	58.103	81.659
exo_circ_000292	chr17:75242335-75243570:-	27.719	60.734	44.907	67.786	63.512
exo_circ_000293	chr18:36026899-36033837:-	55.438	136.65	164.658	174.308	163.317
exo_circ_000294	chr1:28035543-28058094:-	277.189	349.218	261.956	232.411	199.61
exo_circ_000295	chr2:64572945-64585545:+	166.313	75.917	175.885	58.103	154.244
exo_circ_000296	chr3:168036835-168041474:-	152.454	288.484	175.885	232.411	231.366
exo_circ_000297	chr4:102304316-102315830:-	41.578	75.917	22.453	29.051	81.659
exo_circ_000298	chr4:6994183-7001251:+	304.908	227.751	168.401	106.522	113.415
exo_circ_000299	chr6:30670409-30671274:-	69.297	0	14.969	19.368	18.146
exo_circ_000300	chr7:35667433-35673278:-	110.876	91.1	138.463	87.154	113.415
exo_circ_000301	chr7:92294888-92327900:+	110.876	167.017	108.525	145.257	90.732
exo_circ_000302	chr9:121161855-121166180:+	27.719	45.55	52.391	67.786	49.902
exo_circ_000303	chr9:83678440-83686155:-	471.221	1017.286	658.633	610.078	893.708
exo_circ_000304	chr11:128768117-128772985:+	0	30.367	11.227	38.735	27.22
exo_circ_000305	chr11:47358843-47375729:-	27.719	106.284	11.227	38.735	27.22
exo_circ_000306	chr17:64052779-64053371:-	27.719	0	0	19.368	0
exo_circ_000307	chr19:23358429-23362725:-	166.313	242.934	142.205	203.359	290.342
exo_circ_000308	chr19:38141183-38142710:+	0	0	14.969	0	9.073
exo_circ_000309	chr20:32366383-32369123:+	457.361	668.069	366.739	493.873	494.488
exo_circ_000310	chr1:15638306-15643650:+	3478.719	3537.727	3614.999	4164.024	3620.197
exo_circ_000311	chr1:193075819-193077050:+	83.157	75.917	138.463	261.462	181.464
exo_circ_000312	chr1:235830225-235833667:-	41.578	45.55	18.711	67.786	63.512
exo_circ_000313	chr2:23823257-23823569:-	346.486	349.218	404.161	154.94	349.317
exo_circ_000314	chr2:60891682-60901083:+	83.157	60.734	89.814	106.522	81.659
exo_circ_000315	chr3:193657079-193667280:+	374.205	258.117	411.646	309.881	276.732
exo_circ_000316	chr4:39326562-39327756:-	443.502	334.034	576.304	726.283	607.903
exo_circ_000317	chr5:87331347-87338091:+	69.297	60.734	74.845	125.889	77.122
exo_circ_000318	chr12:11869423-11869969:+	41.578	30.367	7.484	29.051	0
exo_circ_000319	chr12:121780871-121781192:-	41.578	15.183	37.422	48.419	49.902
exo_circ_000320	chr12:123586746-123590449:+	859.285	1260.22	898.136	900.591	1070.635
exo_circ_000321	chr12:47104112-47108164:+	110.876	30.367	56.134	116.205	99.805
