exo_circ_ID	CircRNA	HCC1	HCC2	HCC3	HCC4	HCC5	HCC6	HCC7	HCC8	HCC9	HCC10	HCC11	HCC12	HCC13	HCC14	HCC15	HCC16	HCC17	HCC18	HCC19	HCC20	HCC21
exo_circ_000011	chr8:47396375-47407961:+	1258.414	2031.039	1605.497	2414.383	1574.109	2419.016	1069.652	913.865	897.29	758.73	815.094	764.7	2069.273	2416.136	1851.702	1832.428	1122.729	2656.164	1512.166	565.785	1372.943
exo_circ_000012	chr12:108652271-108654410:-	2946.054	5380.024	3923.924	2641.061	3062.874	5679.428	6123.279	5909.249	5877.251	7028.239	5830.317	1612.07	1186.51	4249.811	3124.154	1245.69	5783.303	4706.39	8267.905	6655.574	3978.015
exo_circ_000013	chr13:32517856-32527532:-	7111.501	4545.961	5450.83	6605.288	3167.183	4916.912	4310.635	3068.858	4471.496	4359.372	5456.333	7481.658	5106.738	5860.569	4111.729	7429.005	4560.776	5918.265	5670.621	5323.242	5007.723
exo_circ_000014	chr14:22909482-22911403:-	4721.491	6927.179	8588.847	10696.033	6448.156	2874.772	4137.697	3791.305	7484.896	4732.082	5312.493	9331.404	4518.23	6471.794	7539.752	6038.887	4291.321	10549.95	8365.916	8912.629	6565.485
exo_circ_000015	chr14:39179090-39179462:+	1863.233	1693.593	1863.724	2820.295	1849.104	2129.785	2075.254	1741.284	1824.49	2109.803	2253.494	2252.764	3550.037	2926.689	1775.735	3177.411	2345.257	1153.771	1659.182	1283.662	1883.397
exo_circ_000016	chr16:85633913-85634132:+	25597.503	17356.148	16554.581	10975.427	14366.113	15329.196	22091.202	21241.189	20308.668	18202.874	24519.934	13358.134	9349.698	18343.94	10948.784	14677.475	11890.951	13762.248	14939.636	9454.079	18807.564
exo_circ_000017	chr21:15014343-15043574:-	5258.024	8073.219	4036.197	2092.817	3508.556	5937.982	15385.059	23254.163	29700.305	16399.225	11459.257	3010.575	4897.913	6040.341	6476.21	1561.626	19560.439	6167.28	12597.879	12289.086	4792.1
exo_circ_000018	chr1:117402185-117405645:+	1638.865	1534.421	1397.793	3157.676	2550.815	2725.775	2555.636	2198.216	1704.851	2049.903	2579.532	1660.294	3246.291	2337.037	1889.686	3312.813	1761.437	1336.382	3374.369	2135.381	3089.123
exo_circ_000019	chr1:117402185-117420649:+	8062.628	7793.076	9784.549	10780.378	11568.751	10307.11	12675.7	13226.345	8501.824	10745.353	11574.329	8101.684	13962.848	10671.269	12601.072	13079.742	9929.917	8234.108	9199.007	7872.315	13016.559
exo_circ_000020	chr2:40428472-40430304:-	995.025	878.631	2851.722	1534.029	1261.184	1638.971	333.065	413.709	478.555	638.931	1697.313	1605.181	1338.383	1265.595	1528.841	1471.358	573.839	1535.595	1120.123	845.635	1249.73
exo_circ_000021	chr3:71041327-71053773:-	1677.885	700.358	785.908	1054.316	531.025	666.106	320.255	111.146	829.993	465.887	795.915	1522.51	1006.16	1107.396	940.095	1056.128	708.567	713.844	644.071	803.049	624.865
exo_circ_000022	chr4:128992166-129003876:-	1082.821	1126.94	505.226	173.962	1185.323	999.159	1037.627	716.273	867.381	1457.561	1083.595	296.235	436.636	812.57	294.373	1480.385	848.284	1120.569	1085.119	1009.895	792.083
exo_circ_000023	chr4:87046165-87047594:+	1160.862	1184.242	1515.679	1138.661	1583.591	1078.04	1018.411	1012.661	1540.348	519.131	757.558	1446.729	1224.478	1538.849	1092.03	884.62	1237.497	1618.6	539.059	1496.592	1610.568
exo_circ_000024	chr5:137985256-137988315:-	5677.495	7653.004	3834.106	3842.981	4570.605	6696.116	7064.829	4958.336	6804.451	5424.257	3691.895	5153.112	4423.309	6158.99	4254.168	2807.315	5992.879	6964.129	6517.714	6174.961	4664.487
exo_circ_000025	chr5:154033790-154034967:-	575.554	1687.226	982.384	495.528	749.124	1270.86	634.105	358.136	979.542	539.098	671.254	1791.189	778.35	611.225	911.607	947.807	1327.316	755.347	567.062	334.604	668.87
exo_circ_000026	chr5:95755395-95763620:+	2107.112	1719.061	1218.157	748.564	549.99	3172.767	1831.86	3149.13	3746.187	4179.673	2934.337	1398.505	825.811	776.615	1224.972	1128.342	1806.347	1668.403	1729.189	1782.526	1478.554
exo_circ_000027	chr11:33286412-33287511:+	3092.381	3858.337	3289.584	6220.463	3793.033	4364.745	3881.493	4600.199	3678.89	5683.822	4152.183	2624.78	4053.118	3358.142	2972.22	3511.401	4475.947	3270.402	3269.358	3412.959	3846.002
exo_circ_000028	chr14:99458278-99465813:-	1824.212	1483.486	1223.77	2045.372	3982.685	1367.27	1383.502	1339.924	1114.135	1071.54	930.166	2342.324	2657.782	1826.484	2184.059	3195.465	1122.729	1469.191	962.605	1186.323	2455.456
exo_circ_000029	chr15:41668827-41669958:+	1394.986	1133.307	1257.452	474.442	1469.8	1717.852	1012.006	1037.36	1061.793	1084.851	1447.99	661.362	958.7	1337.504	1652.288	1453.305	793.395	1170.372	707.077	541.45	695.273
exo_circ_000030	chr15:89113724-89116521:+	799.922	1216.076	825.203	1302.08	1356.009	1183.214	736.587	864.467	852.426	678.864	479.467	2307.878	759.366	1430.986	997.071	1065.155	1172.628	2025.325	672.074	1076.816	1487.355
exo_circ_000031	chr16:30483826-30484263:+	1960.784	1247.911	4344.946	2356.396	2067.203	1297.153	730.182	209.942	725.31	765.386	776.736	6510.282	2762.195	2890.735	2421.457	3132.278	1297.376	1103.968	1260.138	2317.892	1170.522
exo_circ_000032	chr17:29684562-29703062:-	214.613	916.832	1330.429	1760.707	445.681	1481.209	871.094	611.302	441.168	851.908	1361.686	2052.978	835.303	891.669	522.275	559.658	793.395	672.341	630.069	638.789	792.083
exo_circ_000033	chr17:59353214-59353526:+	2682.665	1190.609	1223.77	3041.701	1716.347	1954.494	1293.831	531.03	441.168	705.486	1189.078	2879.68	2600.83	1416.604	1918.174	1164.449	1786.387	2050.226	1596.175	1423.587	1540.161
exo_circ_000034	chr20:2964271-2965202:+	3784.997	4163.947	1526.906	1913.583	3897.342	4680.269	3875.088	2321.711	4449.064	4039.907	2128.833	3864.834	2467.941	4098.803	3484.999	2870.502	3472.976	4556.981	4368.478	3735.395	2842.697
exo_circ_000035	chr20:58438944-58441083:+	702.371	1649.025	752.226	906.712	673.263	1016.688	967.171	1278.176	1069.271	1231.273	1141.131	489.132	408.159	639.988	797.656	261.775	748.486	755.347	1477.162	1338.415	818.485
exo_circ_000036	chr21:34834409-34859578:-	2224.173	1973.737	1307.975	511.343	1697.382	2524.19	2235.381	2482.255	2549.8	2535.757	1821.974	702.697	379.683	639.988	816.648	1119.315	1302.366	1220.175	2226.244	1928.535	1020.907
exo_circ_000037	chr1:117402185-117442325:+	1536.435	2005.571	2935.926	1966.299	2484.437	2015.846	1722.973	1287.438	2108.632	3201.31	2857.622	1625.848	3872.768	2329.846	4130.721	3980.791	2899.136	2058.527	2429.266	2031.958	3740.39
exo_circ_000038	chr1:1223243-1223968:-	682.86	375.647	915.021	1196.648	853.432	911.513	320.255	259.34	321.529	405.987	163.019	1426.062	1708.574	582.461	1994.141	1335.957	568.85	539.533	588.064	529.282	404.842
exo_circ_000039	chr1:26729650-26732792:+	438.982	1196.976	1128.339	1001.6	1574.109	1025.452	525.218	351.962	246.755	166.388	421.931	1081.602	1613.653	1502.894	674.21	1344.984	289.415	597.637	329.036	498.864	1056.11
exo_circ_000040	chr1:41070594-41075451:-	995.025	1177.875	2989.256	1017.415	644.816	1262.095	589.27	413.709	628.103	405.987	613.718	2128.759	1271.939	1064.251	959.087	1678.973	653.678	589.336	812.089	796.965	809.685
exo_circ_000041	chr1:66958058-66963160:+	2390.011	2400.318	2363.336	2250.964	2484.437	2673.187	3132.096	2902.139	3222.767	3520.775	2857.622	2562.778	2335.051	2509.618	2715.83	2383.059	2489.964	2357.345	3066.336	2600.784	2235.433
exo_circ_000042	chr2:147896300-147899898:+	1853.478	1521.687	465.931	1128.118	2010.308	2471.603	2152.115	2408.158	1981.516	3434.253	2215.137	468.465	303.747	942.006	1262.956	1182.503	1801.357	1369.584	2009.22	1490.508	1240.93
exo_circ_000043	chr2:61522610-61533903:-	1765.681	2521.289	1515.679	806.552	1204.288	1779.203	1485.984	2031.497	1921.696	2029.937	2435.692	2390.548	1831.971	1596.376	1167.997	2644.834	2589.762	1925.719	2254.247	1606.098	2279.438
exo_circ_000044	chr3:152414940-152432920:+	243.879	579.387	527.681	479.714	881.88	271.701	249.799	456.933	486.032	166.388	278.091	964.486	598.001	568.08	712.193	1678.973	399.193	556.134	427.047	255.516	501.652
exo_circ_000045	chr3:158122102-158123991:+	1160.862	3145.245	2127.564	2430.198	2275.82	2524.19	2004.797	2716.896	1749.716	2196.325	2071.297	2280.321	1642.13	2933.88	1500.354	2148.363	2255.438	2000.423	2177.238	2549.073	2437.855
exo_circ_000046	chr4:87195323-87195690:-	731.636	1464.385	1055.362	738.021	1052.567	1104.333	1364.287	1043.535	598.193	765.386	978.112	434.019	863.779	1351.886	1471.866	379.123	943.093	1743.107	966.106	961.226	1073.712
exo_circ_000047	chr8:37877108-37877551:-	565.798	356.546	247	506.072	606.885	815.103	397.116	246.991	590.716	232.944	239.733	1005.821	2145.21	1006.723	436.812	415.23	269.455	1170.372	805.088	754.38	272.828
exo_circ_000048	chr10:5794884-5800705:-	614.574	1120.573	1785.133	1338.981	568.955	683.635	819.853	938.564	1001.974	911.808	0	2128.759	1907.908	675.943	940.095	1525.519	938.103	747.046	959.105	1466.173	1372.943
exo_circ_000049	chr12:46229152-46243314:-	458.492	706.725	572.59	706.392	929.293	780.045	307.445	222.292	560.806	259.566	0	916.262	2036.051	776.615	598.242	397.176	758.466	514.632	665.073	1003.811	686.472
exo_circ_000050	chr12:69800208-69801721:+	946.249	362.913	202.091	1539.301	644.816	674.87	864.689	518.68	1166.477	658.897	642.486	537.357	512.572	100.672	731.185	1227.636	543.9	1817.812	875.096	888.221	906.495
exo_circ_000051	chr14:96833466-96860735:+	1043.801	655.79	2138.791	1349.524	625.85	464.521	1223.375	518.68	1031.884	579.031	220.555	268.678	2306.575	2013.447	873.624	1841.454	503.981	522.932	693.076	717.877	1390.545
exo_circ_000052	chr15:64499292-64500166:+	1004.78	1298.846	1773.906	2029.558	2048.238	324.288	1063.247	308.738	785.129	392.676	1620.598	1556.956	2335.051	1747.384	1785.231	2960.77	414.162	1004.362	1001.11	1368.834	836.087
exo_circ_000053	chr17:20204332-20205912:+	907.229	1528.054	1599.883	637.861	1659.452	972.865	1069.652	876.817	1435.664	965.052	460.288	578.692	797.335	884.478	1205.981	2780.235	963.052	572.735	833.091	790.882	1443.351
exo_circ_000054	chr18:9182381-9221999:+	1658.375	2546.757	3963.22	1280.994	3612.864	4452.391	3542.022	4075.344	3155.47	3806.963	3663.127	2094.313	3692.419	2826.017	2972.22	3096.171	2709.52	3013.086	2758.302	2214.469	3564.372
exo_circ_000055	chr19:12928341-12928847:-	692.615	872.264	1386.565	1280.994	1412.905	464.521	781.423	555.729	762.697	492.509	680.843	874.927	806.827	395.499	246.894	776.299	169.657	1137.17	637.07	535.366	299.231
exo_circ_000056	chr19:47264602-47264946:+	731.636	407.481	1162.02	674.762	246.547	762.516	429.142	259.34	545.852	412.643	498.646	1150.494	1129.557	1488.513	978.079	848.513	374.243	1029.263	532.058	1241.076	809.685
exo_circ_000057	chr22:21805849-21807846:-	419.471	528.452	673.635	716.935	151.721	1183.214	736.587	358.136	1286.116	1084.851	786.326	744.032	939.716	546.507	807.152	496.471	434.122	780.248	567.062	657.04	475.25
exo_circ_000058	chr1:77711746-77715868:-	1238.904	1820.931	1139.566	906.712	1137.91	2331.37	2225.773	1117.632	1772.148	2129.77	3950.807	1687.851	2885.592	1596.376	1224.972	2148.363	1581.801	1552.196	1620.677	2390.896	1680.975
exo_circ_000059	chr2:63856305-63857936:+	721.881	1343.414	477.158	463.899	739.641	955.336	999.196	870.642	710.355	925.119	719.2	606.248	740.382	524.934	417.82	532.577	1047.881	987.761	952.104	1095.067	554.458
exo_circ_000060	chr2:72718102-72733118:-	1326.7	2419.419	2222.996	2683.233	2019.79	2568.013	1876.695	1370.798	1779.626	1404.317	2339.798	2128.759	3569.022	3365.333	1680.776	0	1761.437	2257.739	1792.196	1551.345	1267.332
exo_circ_000061	chr3:125313307-125331238:-	1053.556	935.933	578.203	716.935	1763.76	771.28	787.828	870.642	710.355	1078.196	1534.294	1736.075	1433.304	690.325	1813.719	2292.791	748.486	946.258	798.087	517.115	1073.712
exo_circ_000062	chr3:172247532-172251541:+	1375.476	611.222	1083.43	1813.423	862.915	815.103	486.788	271.69	299.097	246.255	479.467	1791.189	351.207	1330.313	902.111	1516.492	818.345	830.051	420.046	523.199	616.064
exo_circ_000063	chr6:130955104-130956499:-	692.615	432.949	522.067	817.095	350.856	254.172	288.23	302.563	613.148	252.91	709.611	399.573	920.732	654.37	522.275	1733.134	394.203	747.046	784.086	632.705	633.666
exo_circ_000064	chr7:100812746-100813208:-	1082.821	534.819	555.749	326.838	189.652	131.468	44.836	142.02	231.8	306.154	297.269	2300.989	1214.986	920.433	949.591	1092.235	209.576	1352.983	567.062	358.939	528.055
exo_circ_000065	chr7:102227366-102227669:+	1014.535	490.251	533.294	648.404	815.502	1384.799	480.383	370.486	456.123	246.255	1246.614	668.251	256.286	373.926	721.689	135.401	578.829	215.813	483.053	133.842	387.24
exo_circ_000066	chr7:155672866-155680908:+	3960.589	2718.663	1425.861	2208.791	3442.178	3987.87	3894.303	3118.256	4067.715	3174.688	3643.948	2728.118	3644.958	4249.811	3893.323	4296.727	3293.339	3668.826	3507.384	2384.813	4101.228
exo_circ_000067	chr7:77585542-77600806:+	1638.865	1528.054	1330.429	1765.979	1697.382	1367.27	2440.344	2050.022	2407.729	3041.577	1937.046	489.132	389.175	1078.632	1243.964	1209.583	1886.185	1884.216	2583.283	2019.79	2165.026
exo_circ_000068	chr10:104008176-104018908:+	653.595	585.754	314.363	2108.631	1175.84	1174.45	1281.021	524.855	1039.361	1031.607	1553.473	1350.281	1338.383	1179.305	797.656	2365.005	838.305	1842.714	1141.125	1137.653	880.092
exo_circ_000069	chr11:108227594-108229323:+	731.636	1171.508	1184.475	1655.276	75.861	946.571	345.876	487.806	269.187	346.088	143.84	799.146	1290.923	1093.014	579.25	1462.331	623.738	1377.885	455.05	1356.666	616.064
exo_circ_000070	chr16:68121986-68123121:+	721.881	63.669	297.522	321.566	493.094	236.643	461.167	148.194	321.529	106.488	354.805	1026.489	683.43	438.644	398.828	1074.182	339.314	1020.963	399.044	352.855	484.051
exo_circ_000071	chr16:69370482-69372355:-	936.494	687.624	1162.02	0	331.89	525.873	678.941	290.214	239.277	419.298	1208.256	592.47	379.683	1042.678	636.226	848.513	948.083	614.238	434.048	590.119	431.245
exo_circ_000072	chr17:67945408-67948306:+	448.737	464.783	1594.27	975.242	94.826	482.05	589.27	345.787	553.329	525.787	1313.739	0	645.461	194.154	123.447	352.043	164.667	572.735	392.043	352.855	695.273
exo_circ_000073	chr22:32478980-32479275:+	721.881	891.365	1251.838	1734.349	1668.935	972.865	326.66	413.709	366.393	232.944	1284.971	812.924	1737.05	1236.832	674.21	902.674	449.092	763.647	658.072	614.454	369.639
exo_circ_000074	chr1:33294936-33295305:+	1882.743	1037.803	1089.043	732.749	872.398	1595.148	960.766	790.37	964.587	1204.651	594.539	1928.972	1509.241	906.051	778.665	1290.823	1646.67	1718.206	1036.113	1332.332	871.291
exo_circ_000075	chr3:107710451-107716849:+	351.185	534.819	2930.312	384.825	75.861	893.984	608.485	555.729	650.535	226.288	326.037	1260.721	987.176	769.424	531.771	992.941	558.87	290.518	630.069	292.018	1126.518
exo_circ_000076	chr4:128936654-128970468:-	1063.311	713.092	639.953	838.181	1204.288	1700.323	1191.349	1129.982	1398.277	1164.718	431.52	179.119	949.208	826.951	2041.621	857.54	868.244	771.948	630.069	1502.675	677.671
exo_circ_000077	chr4:53414614-53428183:+	438.982	649.423	218.931	790.737	426.716	999.159	755.802	518.68	732.787	765.386	354.805	378.905	313.239	675.943	550.763	496.471	523.94	423.326	1197.131	1137.653	510.453
exo_circ_000078	chr6:13632369-13644729:-	643.84	846.797	611.885	511.343	227.582	1086.804	1281.021	1234.953	1173.955	945.085	795.915	0	332.223	920.433	522.275	1751.187	563.86	522.932	1484.163	815.217	844.888
exo_circ_000079	chr7:139715931-139717015:-	556.043	426.582	1448.315	163.419	900.845	648.577	589.27	1031.186	620.626	1178.029	537.003	702.697	446.128	258.872	275.381	902.674	863.254	282.217	672.074	590.119	792.083
exo_circ_000080	chr8:130152735-130180880:-	2692.42	3972.941	4187.765	5197.776	3821.481	5442.785	5303.426	5106.53	4336.903	4845.226	3931.628	3472.15	2505.909	2897.925	3522.982	2671.914	2425.095	2739.169	3423.375	4313.347	4990.121
exo_circ_000081	chr11:108176245-108177090:-	663.35	999.602	583.817	743.293	455.164	219.114	358.686	586.603	972.064	732.108	978.112	978.265	1452.288	186.963	199.414	343.016	898.183	1170.372	1561.171	869.97	510.453
exo_circ_000082	chr11:68551120-68564432:+	97.551	318.345	381.727	669.49	938.776	420.698	710.966	413.709	343.961	472.543	191.787	447.797	341.715	366.735	227.902	144.428	464.061	622.538	224.025	845.635	739.277
exo_circ_000083	chr16:24032135-24035547:+	429.226	566.653	566.976	411.183	94.826	411.934	691.751	852.117	702.877	519.131	201.376	530.467	256.286	287.635	360.845	505.497	638.708	348.621	658.072	517.115	624.865
exo_circ_000084	chr18:21765771-21779685:+	429.226	604.855	780.294	1312.623	246.547	946.571	294.635	753.321	381.348	199.666	997.291	1412.283	1414.32	510.553	1243.964	577.711	209.576	1402.786	560.061	961.226	1196.925
exo_circ_000085	chr18:47865058-47896809:-	78.041	496.618	763.453	426.998	161.204	368.111	493.193	370.486	231.8	579.031	258.912	261.789	740.382	251.681	484.291	568.684	324.344	132.808	329.036	389.357	431.245
exo_circ_000086	chr18:9195550-9221999:+	692.615	617.589	1481.997	1122.846	910.328	885.219	1242.59	710.098	829.993	725.453	1515.115	564.913	1290.923	589.652	1167.997	631.872	538.91	1377.885	784.086	681.375	1302.536
exo_circ_000087	chr19:18147442-18147624:+	487.757	649.423	314.363	527.158	398.268	184.056	243.394	148.194	261.71	73.211	508.235	502.911	512.572	733.47	465.3	541.604	189.617	199.212	224.025	407.608	501.652
exo_circ_000088	chr21:15762890-15766141:+	419.471	458.416	1386.565	479.714	1118.945	534.637	480.383	617.476	643.058	445.92	143.84	1074.713	901.747	1474.131	522.275	749.219	324.344	879.854	630.069	845.635	475.25
exo_circ_000089	chrX:53403565-53403893:-	1443.762	1298.846	488.385	548.244	1583.591	1340.976	723.777	611.302	2318	1184.684	642.486	881.816	1632.638	2265.128	1310.436	1083.208	608.769	929.657	1064.117	1502.675	1311.337
exo_circ_000090	chr1:155438326-155459898:-	1092.576	522.085	398.567	680.034	350.856	543.402	666.131	463.107	456.123	592.342	76.715	406.462	294.254	316.399	512.779	902.674	618.749	481.43	602.066	742.212	598.462
exo_circ_000091	chr1:205616477-205623891:-	380.451	541.186	471.545	426.998	1251.701	359.347	269.014	203.767	127.116	146.422	134.251	640.694	1319.399	913.242	398.828	361.069	289.415	913.056	210.023	0	660.069
exo_circ_000092	chr1:7777159-7778169:+	1687.64	1680.86	1914.246	2999.528	2968.048	1586.383	1838.265	2451.381	1600.167	2342.746	1668.545	2583.445	0	2070.974	1585.817	1164.449	2849.237	2539.957	3360.368	2476.068	2226.632
exo_circ_000093	chr1:9931890-9934860:-	517.023	1152.407	1392.179	1217.735	929.293	709.928	1056.842	1451.07	1405.755	1710.471	1083.595	682.03	797.335	877.288	2098.596	1281.797	1506.952	1344.683	1274.14	1143.737	1056.11
exo_circ_000094	chr2:112299848-112300029:+	2594.869	1387.982	1358.497	2024.286	2086.168	2261.254	2273.812	1302.875	2310.522	1391.006	575.36	3024.353	1262.446	2099.738	1452.874	1056.128	1706.549	2739.169	2618.287	2244.887	1760.184
exo_circ_000095	chr2:226864603-226867318:+	848.698	649.423	28.068	210.863	426.716	578.46	473.978	537.204	643.058	752.075	450.699	186.008	341.715	402.689	218.406	884.62	678.627	498.031	448.049	468.445	176.018
exo_circ_000096	chr3:196487398-196488683:-	956.004	1222.443	2542.972	1903.04	1744.795	2454.074	1953.557	1284.351	1929.174	1690.505	3250.785	2776.343	1775.019	3106.461	1832.711	1976.855	1247.477	1643.501	2317.254	1958.953	1927.401
exo_circ_000097	chr5:123545416-123557564:+	1863.233	2298.448	2009.678	1412.783	3328.387	2611.836	1556.44	1259.652	1697.374	1058.229	2032.939	1474.286	2762.195	1905.584	1851.702	2996.877	1182.608	1469.191	1155.126	1490.508	1434.55
exo_circ_000098	chr7:152309965-152315338:-	565.798	783.128	752.226	289.937	919.811	552.167	941.55	778.02	665.49	1108.146	306.859	124.005	806.827	675.943	294.373	0	523.94	232.414	497.054	845.635	660.069
exo_circ_000099	chr8:22474953-22475624:+	1190.128	547.553	1139.566	2873.01	1517.213	201.585	595.675	308.738	762.697	319.465	517.824	3775.275	1281.431	683.134	1243.964	1579.679	898.183	1112.269	714.078	1551.345	1091.314
exo_circ_000100	chr10:110596397-110598290:+	741.391	375.647	987.998	1439.141	237.065	1034.217	1056.842	1364.623	957.11	1437.594	412.341	640.694	1309.907	1366.268	1035.054	830.46	1002.971	0	1015.111	620.538	1135.319
exo_circ_000101	chr11:72984087-72989097:-	975.515	1088.739	0	321.566	274.995	368.111	544.434	666.875	456.123	512.476	479.467	957.597	901.747	481.789	1139.509	956.834	658.668	406.725	420.046	468.445	510.453
exo_circ_000102	chr16:68121986-68126610:+	975.515	458.416	948.703	1006.872	2162.029	1042.981	595.675	117.321	396.303	239.599	632.896	1660.294	892.255	1021.105	902.111	884.62	394.203	572.735	819.09	669.208	563.259
exo_circ_000103	chr17:67945408-67975958:+	497.512	413.848	600.658	817.095	369.821	254.172	313.85	240.816	291.619	272.877	834.272	620.027	512.572	625.607	541.267	361.069	249.495	398.425	301.033	340.688	510.453
exo_circ_000104	chr19:8455404-8463686:+	341.43	592.121	404.181	1149.204	1507.731	736.222	794.233	710.098	1211.342	1018.296	987.702	365.127	721.398	790.997	968.583	442.31	748.486	381.824	616.067	693.542	686.472
exo_circ_000105	chr22:41172498-41173784:+	87.796	210.107	331.204	263.579	132.756	166.526	217.774	364.311	284.142	299.499	508.235	351.349	199.334	129.436	759.673	135.401	379.233	722.145	420.046	383.273	220.023
exo_circ_000106	chr3:170122590-170129552:-	331.675	1133.307	493.999	1396.968	284.477	552.167	480.383	370.486	515.942	326.121	623.307	234.232	1177.018	1114.587	0	1633.839	568.85	448.228	560.061	784.798	924.096
exo_circ_000107	chr3:56592969-56594028:+	0	1623.558	2183.7	658.947	2105.133	0	800.638	778.02	770.174	665.553	939.755	2252.764	787.843	2236.364	1452.874	1742.16	2115.721	771.948	1218.133	1307.997	1311.337
exo_circ_000108	chr4:177353307-177353728:+	390.206	878.631	527.681	1217.735	1536.178	788.809	499.598	191.418	231.8	445.92	469.877	620.027	1423.812	719.088	341.853	415.23	399.193	564.435	679.074	438.027	501.652
exo_circ_000109	chr5:32135571-32143880:-	0	814.962	263.84	954.156	208.617	52.587	89.671	160.544	366.393	259.566	584.95	998.932	208.826	330.781	0	1047.102	563.86	149.409	441.048	1076.816	404.842
exo_circ_000110	chr6:130926604-130956499:-	478.002	305.611	1352.884	1286.265	597.403	1156.92	339.47	123.495	0	226.288	0	385.794	825.811	388.308	588.746	866.567	159.677	722.145	210.023	103.423	580.861
exo_circ_000111	chr7:155665174-155680908:+	507.268	967.768	1167.634	532.429	1574.109	990.394	608.485	475.457	755.219	512.476	0	992.043	1803.495	107.863	921.103	631.872	808.365	879.854	637.07	973.393	1108.916
exo_circ_000112	chr9:75016267-75017448:-	653.595	840.43	538.908	695.848	587.92	446.992	602.08	901.516	792.606	738.764	1093.184	1191.829	151.873	611.225	636.226	478.417	828.325	821.751	553.061	857.803	589.662
exo_circ_000113	chr10:34269656-34284245:-	1463.272	929.566	774.68	0	1839.621	753.751	2056.038	3513.441	1278.639	2309.469	1275.382	434.019	892.255	1078.632	1035.054	1426.224	1886.185	937.958	1036.113	833.468	2165.026
exo_circ_000114	chr10:68787926-68788328:+	556.043	509.351	482.772	221.406	1118.945	788.809	333.065	666.875	807.561	718.797	345.216	365.127	768.858	524.934	617.234	505.497	563.86	323.72	770.084	456.278	0
exo_circ_000115	chr13:99238426-99244624:+	575.554	477.517	527.681	395.368	312.925	1051.746	582.864	537.204	44.865	798.664	1227.435	571.803	1243.462	244.49	522.275	794.353	818.345	1294.88	497.054	480.613	378.44
exo_circ_000116	chr15:93000511-93009323:+	165.837	146.439	555.749	221.406	531.025	736.222	384.306	561.904	478.555	499.165	584.95	124.005	1091.589	86.291	208.91	875.594	269.455	390.124	161.018	285.934	220.023
exo_circ_000117	chr16:80684537-80685129:-	0	732.193	16.841	875.082	625.85	517.108	230.584	537.204	336.484	618.964	537.003	1219.386	1177.018	639.988	826.144	902.674	319.354	249.015	672.074	717.877	1126.518
